,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,543829,4,4,0,0,0,0,0,0,0,0,1
1,519317,4,3,1,1,0,0,0,0,1,1,0
2,592885,4,2,0,0,0,0,0,0,0,2,1
3,542303,4,3,0,0,0,0,0,0,0,1,1
4,592663,4,4,1,0,0,1,0,1,1,0,1
5,595375,4,4,0,0,0,0,0,1,0,0,1
6,489138,4,4,0,0,0,0,0,0,0,0,0
7,518568,2,2,0,0,0,0,0,0,0,0,1
8,518618,1,1,1,0,1,0,0,0,0,0,0
9,502046,2,2,0,0,0,0,0,0,0,0,2
10,446899,0,0,0,0,0,0,0,0,0,0,0
11,607457,0,0,0,0,0,0,0,0,0,0,0
12,400085,1,1,0,0,0,0,0,0,0,0,1
13,623395,0,0,0,0,0,0,0,0,0,0,0
14,430661,0,0,0,0,0,0,0,0,0,0,0
