,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,445055,5,4,0,0,0,0,0,0,0,1,1
1,656941,5,5,3,2,0,0,1,1,1,0,0
2,592178,4,4,1,0,0,0,1,1,2,0,1
3,519203,5,5,3,1,2,0,0,1,2,0,1
4,450314,5,5,1,0,0,1,0,0,1,0,1
5,488671,5,4,2,0,1,0,1,3,1,1,1
6,664023,3,3,2,0,0,0,2,3,2,0,1
7,595879,4,4,1,0,0,0,1,1,1,0,1
8,452657,0,0,0,0,0,0,0,0,0,0,0
9,543557,2,2,0,0,0,0,0,0,0,0,1
10,600303,1,1,0,0,0,0,0,0,0,0,1
11,518748,0,0,0,0,0,0,0,0,0,0,0
12,458677,0,0,0,0,0,0,0,0,0,0,0
13,488846,0,0,0,0,0,0,0,0,0,0,0
14,605170,1,1,0,0,0,0,0,0,0,0,1
15,444468,0,0,0,0,0,0,0,0,0,0,0
