,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,506560,5,5,2,0,1,1,0,3,1,0,2
1,500208,5,4,2,0,0,0,2,4,2,1,1
2,461416,0,0,0,0,0,0,0,0,0,0,0
3,461314,5,5,1,1,0,0,0,1,0,0,1
4,599998,0,0,0,0,0,0,0,0,0,0,0
5,445612,0,0,0,0,0,0,0,0,0,0,0
6,456496,0,0,0,0,0,0,0,0,0,0,0
7,457708,4,4,1,0,1,0,0,0,1,0,1
8,425549,1,1,0,0,0,0,0,0,0,0,0
9,475174,5,4,0,0,0,0,0,0,1,1,0
10,576397,5,5,3,2,0,0,1,2,2,0,0
11,595978,5,4,2,2,0,0,0,1,2,1,0
12,425834,5,3,1,1,0,0,0,1,2,2,0
13,475115,3,3,1,1,0,0,0,1,1,0,2
14,477165,2,1,0,0,0,0,0,0,1,1,1
