,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,452254,5,5,1,1,0,0,0,2,0,0,1
1,605412,5,4,0,0,0,0,0,0,0,1,1
2,452655,4,3,1,1,0,0,0,0,0,1,1
3,457763,4,4,2,2,0,0,0,0,0,0,0
4,543063,4,3,0,0,0,0,0,0,0,1,0
5,467055,4,4,1,1,0,0,0,0,1,0,1
6,592620,3,2,0,0,0,0,0,0,0,1,1
7,624507,4,3,1,1,0,0,0,0,1,1,2
8,430912,2,2,0,0,0,0,0,0,0,0,2
9,606625,0,0,0,0,0,0,0,0,0,0,0
10,595345,0,0,0,0,0,0,0,0,0,0,0
11,518715,0,0,0,0,0,0,0,0,0,0,0
12,593525,0,0,0,0,0,0,0,0,0,0,0
13,519326,0,0,0,0,0,0,0,0,0,0,0
14,605509,0,0,0,0,0,0,0,0,0,0,0
15,473879,0,0,0,0,0,0,0,0,0,0,0
16,543148,1,1,0,0,0,0,0,0,0,0,0
