,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,543829,4,4,1,1,0,0,0,1,0,0,0
1,502261,4,4,1,1,0,0,0,0,0,0,1
2,592885,4,4,1,1,0,0,0,0,0,0,2
3,431171,3,3,0,0,0,0,0,0,0,0,0
4,457768,0,0,0,0,0,0,0,0,0,0,0
5,445197,0,0,0,0,0,0,0,0,0,0,0
6,400085,1,1,1,1,0,0,0,0,0,0,0
7,445988,4,4,1,1,0,0,0,0,0,0,1
8,518618,3,3,2,2,0,0,0,0,0,0,1
9,592663,3,3,0,0,0,0,0,0,0,0,0
10,588751,4,3,0,0,0,0,0,0,1,1,0
11,543272,0,0,0,0,0,0,0,0,0,0,0
12,543045,0,0,0,0,0,0,0,0,0,0,0
13,571506,1,1,0,0,0,0,0,0,0,0,1
14,623395,0,0,0,0,0,0,0,0,0,0,0
15,500743,1,1,0,0,0,0,0,0,0,0,1
