,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,571976,4,3,0,0,0,0,0,0,0,1,1
1,605486,3,3,0,0,0,0,0,0,0,0,0
2,461314,3,3,1,1,0,0,0,0,0,0,1
3,461416,1,1,0,0,0,0,0,0,0,0,0
4,457708,3,3,0,0,0,0,0,0,0,0,1
5,425549,1,1,0,0,0,0,0,0,0,0,0
6,500208,3,3,1,0,1,0,0,0,0,0,1
7,543883,0,0,0,0,0,0,0,0,0,0,0
8,534812,0,0,0,0,0,0,0,0,0,0,0
9,445612,0,0,0,0,0,0,0,0,0,0,0
10,595978,1,1,0,0,0,0,0,0,0,0,0
11,519083,3,3,1,0,1,0,0,0,0,0,1
12,475174,3,2,0,0,0,0,0,0,0,1,1
13,519025,0,0,0,0,0,0,0,0,0,0,0
14,506560,3,3,0,0,0,0,0,0,0,0,1
15,628333,2,2,0,0,0,0,0,0,0,0,1
16,576397,1,1,0,0,0,0,0,0,0,0,0
