,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,408314,4,4,0,0,0,0,0,1,0,0,1
1,607043,4,4,0,0,0,0,0,0,0,0,1
2,452678,4,3,3,2,1,0,0,0,1,1,0
3,608700,4,4,2,2,0,0,0,0,0,0,0
4,642086,4,3,1,0,1,0,0,1,0,1,1
5,501571,4,4,0,0,0,0,0,0,0,0,1
6,607369,2,2,0,0,0,0,0,0,0,0,2
7,493114,2,1,0,0,0,0,0,0,0,1,0
8,608325,4,4,1,0,1,0,0,0,1,0,1
9,606160,1,1,0,0,0,0,0,0,0,0,1
10,607473,0,0,0,0,0,0,0,0,0,0,0
11,543548,0,0,0,0,0,0,0,0,0,0,0
12,595943,1,1,0,0,0,0,0,0,0,0,0
13,460283,0,0,0,0,0,0,0,0,0,0,0
14,623149,0,0,0,0,0,0,0,0,0,0,0
15,608703,1,1,0,0,0,0,0,0,0,0,0
