,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,TOR-2019-05-24,2019-05-24,SDP,A,TOR,DH,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
1,TOR-2019-05-25,2019-05-25,SDP,A,TOR,RF,6,6,0,3,1,0,0,2,0,0,2,0,0,0,0
2,TOR-2019-05-26,2019-05-26,SDP,A,TOR,RF,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
3,NYY-2019-05-27,2019-05-27,SDP,A,NYY,DH,3,3,1,1,1,0,0,1,0,0,0,0,0,0,0
4,NYY-2019-05-28,2019-05-28,SDP,A,NYY,RF,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0
5,SDP-2019-05-31,2019-05-31,SDP,H,MIA,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SDP-2019-06-01,2019-06-01,SDP,H,MIA,LF,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0
7,SDP-2019-06-02,2019-06-02,SDP,H,MIA,RF,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0
8,SDP-2019-06-03,2019-06-03,SDP,H,PHI,PH,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0
9,SDP-2019-06-04,2019-06-04,SDP,H,PHI,PH,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,SDP-2019-06-05,2019-06-05,SDP,H,PHI,LF RF,5,5,1,1,0,0,1,3,0,0,2,0,0,0,0
11,SDP-2019-06-06,2019-06-06,SDP,H,WSN,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SDP-2019-06-07,2019-06-07,SDP,H,WSN,LF,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0
13,SDP-2019-06-08,2019-06-08,SDP,H,WSN,LF,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
14,SDP-2019-06-09,2019-06-09,SDP,H,WSN,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SFG-2019-06-11,2019-06-11,SDP,A,SFG,LF,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
16,SFG-2019-06-12,2019-06-12,SDP,A,SFG,LF,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0
17,COL-2019-06-13,2019-06-13,SDP,A,COL,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,COL-2019-06-14,2019-06-14,SDP,A,COL,RF,6,6,0,0,0,0,0,0,0,0,3,0,0,0,1
19,COL-2019-06-15,2019-06-15,SDP,A,COL,RF,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0
20,COL-2019-06-16,2019-06-16,SDP,A,COL,PH LF,3,1,0,1,0,0,0,0,2,1,0,0,0,0,0
21,SDP-2019-06-18,2019-06-18,SDP,H,MIL,RF,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0
22,SDP-2019-06-19,2019-06-19,SDP,H,MIL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PIT-2019-06-22,2019-06-22,SDP,A,PIT,RF,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0
24,PIT-2019-06-23,2019-06-23,SDP,A,PIT,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BAL-2019-06-25,2019-06-25,SDP,A,BAL,DH,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
26,SDP-2019-06-28,2019-06-28,SDP,H,STL,LF,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
27,SDP-2019-06-29,2019-06-29,SDP,H,STL,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0
28,SDP-2019-06-30,2019-06-30,SDP,H,STL,LF,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
29,SDP-2019-07-01,2019-07-01,SDP,H,SFG,PH LF,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0
30,SDP-2019-07-02,2019-07-02,SDP,H,SFG,LF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
31,SDP-2019-07-03,2019-07-03,SDP,H,SFG,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,LAD-2019-07-05,2019-07-05,SDP,A,LAD,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
33,LAD-2019-07-06,2019-07-06,SDP,A,LAD,LF,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0
34,SDP-2019-07-13,2019-07-13,SDP,H,ATL,PH,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,SDP-2019-07-14,2019-07-14,SDP,H,ATL,LF,4,4,0,3,0,0,0,1,0,0,1,0,0,0,0
36,MIA-2019-07-16,2019-07-16,SDP,A,MIA,RF,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1
37,MIA-2019-07-17,2019-07-17,SDP,A,MIA,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,MIA-2019-07-18,2019-07-18,SDP,A,MIA,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,CHC-2019-07-19,2019-07-19,SDP,A,CHC,PH,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
40,CHC-2019-07-20,2019-07-20,SDP,A,CHC,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,LAD-2019-08-01,2019-08-01,SDP,A,LAD,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LAD-2019-08-02,2019-08-02,SDP,A,LAD,LF,4,3,0,1,1,0,0,2,1,0,0,0,0,0,0
43,LAD-2019-08-03,2019-08-03,SDP,A,LAD,LF,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0
44,LAD-2019-08-04,2019-08-04,SDP,A,LAD,LF,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
45,SEA-2019-08-06,2019-08-06,SDP,A,SEA,DH,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0
46,SEA-2019-08-07,2019-08-07,SDP,A,SEA,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
