,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,TEX-2014-08-25,2014-08-25,TEX,A,SEA,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
1,TEX-2014-08-27,2014-08-27,TEX,A,SEA,C,4,4,2,2,1,0,0,3,0,0,0,0,0,0,0
2,TEX-2014-08-29,2014-08-29,TEX,A,HOU,C,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0
3,TEX-2014-08-30,2014-08-30,TEX,A,HOU,C,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TEX-2014-09-01,2014-09-01,TEX,A,KCR,C,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1
5,TEX-2014-09-02,2014-09-02,TEX,A,KCR,C,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1
6,TEX-2014-09-03,2014-09-03,TEX,A,KCR,C,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
7,TEX-2014-09-05,2014-09-05,TEX,H,SEA,C,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0
8,TEX-2014-09-06,2014-09-06,TEX,H,SEA,C,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
9,TEX-2014-09-09,2014-09-09,TEX,H,LAA,C,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0
10,TEX-2014-09-10,2014-09-10,TEX,H,LAA,C,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0
11,TEX-2014-09-11,2014-09-11,TEX,H,LAA,C,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0
12,TEX-2014-09-13,2014-09-13,TEX,H,ATL,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
13,TEX-2014-09-18,2014-09-18,TEX,A,OAK,C,4,4,1,1,0,0,0,2,0,0,2,0,0,0,0
14,TEX-2014-09-20,2014-09-20,TEX,A,LAA,DH,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
15,TEX-2014-09-21,2014-09-21,TEX,A,LAA,C,4,3,0,2,0,0,0,1,1,0,1,0,0,0,0
16,TEX-2014-09-24,2014-09-24,TEX,H,HOU,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
17,TEX-2014-09-28,2014-09-28,TEX,H,OAK,C,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0
0,TEX-2015-07-17,2015-07-17,TEX,A,HOU,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,TEX-2015-07-19,2015-07-19,TEX,A,HOU,PH C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TEX-2015-07-20,2015-07-20,TEX,A,COL,C,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0
3,TEX-2015-07-26,2015-07-26,TEX,A,LAA,C,4,3,0,0,0,0,0,1,0,0,0,1,0,0,0
4,TEX-2015-07-27,2015-07-27,TEX,H,NYY,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TEX-2015-07-28,2015-07-28,TEX,H,NYY,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MIA-2015-08-03,2015-08-03,MIA,H,NYM,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MIA-2015-08-06,2015-08-06,MIA,A,ATL,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MIA-2015-08-11,2015-08-11,MIA,H,BOS,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,MIA-2015-08-12,2015-08-12,MIA,H,BOS,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,MIA-2015-08-18,2015-08-18,MIA,A,MIL,C,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0
11,MIA-2015-09-07,2015-09-07,MIA,H,MIL,C,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,MIA-2015-09-12,2015-09-12,MIA,H,WSN,PH,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,MIA-2015-09-14,2015-09-14,MIA,A,NYM,PH,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,MIA-2015-09-18,2015-09-18,MIA,A,WSN,PH,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,MIA-2015-09-20,2015-09-20,MIA,A,WSN,C,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
16,MIA-2015-09-22,2015-09-22,MIA,H,PHI,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MIA-2015-09-23,2015-09-23,MIA,H,PHI,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MIA-2015-09-24,2015-09-24,MIA,H,PHI,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MIA-2015-09-25,2015-09-25,MIA,H,ATL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,MIA-2015-10-01,2015-10-01,MIA,A,TBR,DH,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
21,MIA-2015-10-03,2015-10-03,MIA,A,PHI,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,MIA-2015-10-04,2015-10-04,MIA,A,PHI,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
0,MIA-2016-07-08,2016-07-08,MIA,H,CIN,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MIA-2016-07-10,2016-07-10,MIA,H,CIN,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,MIA-2016-09-05,2016-09-05,MIA,H,PHI,PH,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,MIA-2016-09-10,2016-09-10,MIA,H,LAD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MIA-2016-09-12,2016-09-12,MIA,A,ATL,PH,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,MIA-2016-09-16,2016-09-16,MIA,A,PHI,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MIA-2016-09-17,2016-09-17,MIA,A,PHI,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MIA-2016-09-22,2016-09-22,MIA,H,ATL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MIA-2016-09-27,2016-09-27,MIA,H,NYM,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,MIA-2016-10-02,2016-10-02,MIA,A,WSN,C,5,5,1,2,0,0,1,4,0,0,1,0,0,0,0
0,MIA-2017-05-09,2017-05-09,MIA,H,STL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MIA-2017-05-10,2017-05-10,MIA,H,STL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MIA-2017-06-08,2017-06-08,MIA,A,PIT,PH 1B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,MIA-2017-06-09,2017-06-09,MIA,A,PIT,1B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MIA-2017-06-10,2017-06-10,MIA,A,PIT,PH,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,MIA-2017-06-11,2017-06-11,MIA,A,PIT,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
