,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,SDP-2017-07-30,2017-07-30,SDP,H,PIT,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PIT-2017-08-04,2017-08-04,SDP,A,PIT,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CIN-2017-08-07,2017-08-07,SDP,A,CIN,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CIN-2017-08-09,2017-08-09,SDP,A,CIN,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SDP-2017-08-15,2017-08-15,SDP,H,PHI,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SDP-2017-09-01,2017-09-01,SDP,H,LAD,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SDP-2017-09-04,2017-09-04,SDP,H,STL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI-2017-09-08,2017-09-08,SDP,A,ARI,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,COL-2017-09-15,2017-09-15,SDP,A,COL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,COL-2017-09-17,2017-09-17,SDP,A,COL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SDP-2017-09-20,2017-09-20,SDP,H,ARI,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SDP-2017-09-22,2017-09-22,SDP,H,COL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SDP-2017-09-24,2017-09-24,SDP,H,COL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LAD-2017-09-26,2017-09-26,SDP,A,LAD,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SFG-2017-09-29,2017-09-29,SDP,A,SFG,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SFG-2017-10-01,2017-10-01,SDP,A,SFG,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,SDP-2018-03-29,2018-03-29,SDP,H,MIL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SDP-2018-04-02,2018-04-02,SDP,H,COL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SDP-2018-04-15,2018-04-15,SDP,H,SFG,P,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SDP-2018-04-16,2018-04-16,SDP,H,LAD,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
