,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
7,TEX-2020-08-20,2020-08-20,TEX,A,SDP,C,5,5,2,2,0,0,1,3,0,0,1,0,0,0,0
8,TEX-2020-08-21,2020-08-21,TEX,A,SEA,C,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0
9,TEX-2020-08-22,2020-08-22,TEX,A,SEA,C,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0
10,TEX-2020-08-24,2020-08-24,TEX,H,OAK,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
11,TEX-2020-08-25,2020-08-25,TEX,H,OAK,DH,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0
12,TEX-2020-08-26,2020-08-26,TEX,H,OAK,C,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
13,TEX-2020-08-28,2020-08-28,TEX,H,LAD,C,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0
14,TEX-2020-08-30,2020-08-30,TEX,H,LAD,DH,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0
15,TEX-2020-09-01,2020-09-01,TEX,A,HOU,C,5,3,0,0,0,0,0,0,2,0,2,0,0,0,0
16,TEX-2020-09-02,2020-09-02,TEX,A,HOU,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,TEX-2020-09-03,2020-09-03,TEX,A,HOU,C,4,4,0,2,1,0,0,2,0,0,0,0,0,0,0
18,TEX-2020-09-04,2020-09-04,TEX,A,SEA,C,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0
19,TEX-2020-09-05,2020-09-05,TEX,A,SEA,DH,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1
20,TEX-2020-09-06,2020-09-06,TEX,A,SEA,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
21,TEX-2020-09-07,2020-09-07,TEX,A,SEA,C,4,3,0,0,0,0,0,1,0,0,2,0,0,1,0
22,TEX-2020-09-08,2020-09-08,TEX,H,LAA,C,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0
23,TEX-2020-09-09,2020-09-09,TEX,H,LAA,C,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0
0,TEX-2021-04-01,2021-04-01,TEX,A,KCR,C,5,5,1,3,0,0,0,0,0,0,2,0,0,0,0
1,TEX-2021-04-03,2021-04-03,TEX,A,KCR,C,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2,TEX-2021-04-05,2021-04-05,TEX,H,TOR,C,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0
3,TEX-2021-04-07,2021-04-07,TEX,H,TOR,C,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0
4,TEX-2021-04-09,2021-04-09,TEX,H,SDP,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
5,TEX-2021-04-11,2021-04-11,TEX,H,SDP,C,4,3,0,2,1,0,0,0,1,0,1,0,0,0,0
6,TEX-2021-04-12,2021-04-12,TEX,A,TBR,C,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
7,TEX-2021-04-13,2021-04-13,TEX,A,TBR,C,5,5,1,2,0,0,0,0,0,0,1,0,0,0,1
8,TEX-2021-04-15,2021-04-15,TEX,A,TBR,C,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1
9,TEX-2021-04-16,2021-04-16,TEX,H,BAL,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
10,TEX-2021-04-18,2021-04-18,TEX,H,BAL,C,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
11,TEX-2021-04-19,2021-04-19,TEX,A,LAA,C,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0
12,TEX-2021-04-20,2021-04-20,TEX,A,LAA,C,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0
13,TEX-2021-04-23,2021-04-23,TEX,A,CHW,C,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0
14,TEX-2021-04-24,2021-04-24,TEX,A,CHW,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
15,TEX-2021-04-26,2021-04-26,TEX,H,LAA,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
16,TEX-2021-04-27,2021-04-27,TEX,H,LAA,C,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1
17,TEX-2021-04-29,2021-04-29,TEX,H,BOS,C,3,3,1,2,0,0,1,2,0,0,0,0,0,0,0
18,TEX-2021-05-01,2021-05-01,TEX,H,BOS,C,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0
19,TEX-2021-05-02,2021-05-02,TEX,H,BOS,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,TEX-2021-05-03,2021-05-03,TEX,A,MIN,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
21,TEX-2021-05-04,2021-05-04,TEX,A,MIN,PH C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,TEX-2021-05-05,2021-05-05,TEX,A,MIN,C,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1
23,TEX-2021-05-07,2021-05-07,TEX,H,SEA,C,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
24,TEX-2021-05-09,2021-05-09,TEX,H,SEA,C,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0
25,TEX-2021-05-13,2021-05-13,TEX,A,HOU,C,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0
