,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_SH_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_SH_PA,h_avg_pf,imputed
66,PHI-2015-04-06,2015-04-06,PHI,H,BOS,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.255,121.0,0.19,0.008,0.0,0.008,0.074,0.008,0.0,0.008,0.264,0.008,0.008,98.05,1
67,PHI-2015-04-09,2015-04-09,PHI,H,BOS,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.257,114.0,0.193,0.009,0.0,0.009,0.07,0.009,0.0,0.009,0.254,0.009,0.009,98.0,1
68,PHI-2015-04-10,2015-04-10,PHI,H,WSN,PH 2B,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,100,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.257,114.0,0.193,0.009,0.0,0.009,0.07,0.009,0.0,0.009,0.254,0.009,0.009,98.009,1
69,PHI-2015-04-11,2015-04-11,PHI,H,WSN,PR 2B,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,100,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.263,115.0,0.2,0.009,0.0,0.009,0.07,0.009,0.0,0.009,0.252,0.009,0.009,98.026,1
70,PHI-2015-04-12,2015-04-12,PHI,H,WSN,2B,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,500,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.261,116.0,0.198,0.009,0.0,0.009,0.069,0.009,0.0,0.009,0.259,0.009,0.009,98.043,1
71,NYM-2015-04-13,2015-04-13,PHI,A,NYM,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.257,121.0,0.198,0.008,0.0,0.008,0.066,0.008,0.0,0.008,0.256,0.008,0.008,98.124,1
72,NYM-2015-04-15,2015-04-15,PHI,A,NYM,SS,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,475,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.255,122.0,0.197,0.008,0.0,0.008,0.066,0.008,0.0,0.008,0.254,0.008,0.008,98.098,1
73,WSN-2015-04-17,2015-04-17,PHI,A,WSN,PH,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,101,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.257,127.0,0.197,0.008,0.0,0.008,0.071,0.008,0.0,0.008,0.26,0.008,0.008,97.976,1
74,WSN-2015-04-18,2015-04-18,PHI,A,WSN,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.262,128.0,0.203,0.008,0.0,0.008,0.07,0.008,0.0,0.008,0.258,0.008,0.008,98.0,1
75,WSN-2015-04-19,2015-04-19,PHI,A,WSN,2B,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,404,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,0.007,100.0,0.26,129.0,0.202,0.008,0.0,0.008,0.07,0.008,0.0,0.008,0.256,0.008,0.008,98.023,1
76,PHI-2015-04-22,2015-04-22,PHI,H,MIA,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.293,22.0,0.182,0.045,0.0,0.0,0.091,0.0,0.0,0.0,0.227,0.0,0.0,94.364,0.268,133.0,0.195,0.015,0.0,0.008,0.075,0.008,0.0,0.008,0.248,0.008,0.008,98.113,0
77,PHI-2015-04-23,2015-04-23,PHI,H,MIA,2B,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,400,0.28,23.0,0.174,0.043,0.0,0.0,0.087,0.0,0.0,0.0,0.217,0.0,0.0,94.609,0.266,134.0,0.194,0.015,0.0,0.007,0.075,0.007,0.0,0.007,0.246,0.007,0.007,98.127,0
78,PHI-2015-04-24,2015-04-24,PHI,H,ATL,PH,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0.263,27.0,0.148,0.037,0.0,0.0,0.111,0.0,0.0,0.0,0.185,0.037,0.0,95.407,0.263,138.0,0.188,0.014,0.0,0.007,0.08,0.007,0.0,0.007,0.239,0.014,0.007,98.181,0
79,PHI-2015-04-25,2015-04-25,PHI,H,ATL,SS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0.263,28.0,0.143,0.036,0.0,0.0,0.107,0.0,0.0,0.0,0.179,0.036,0.036,95.571,0.263,139.0,0.187,0.014,0.0,0.007,0.079,0.007,0.0,0.007,0.237,0.014,0.014,98.194,0
80,PHI-2015-04-26,2015-04-26,PHI,H,ATL,3B,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0.286,29.0,0.172,0.034,0.0,0.0,0.103,0.0,0.0,0.0,0.172,0.034,0.034,95.724,0.267,140.0,0.193,0.014,0.0,0.007,0.079,0.007,0.0,0.007,0.236,0.014,0.014,98.207,0
81,STL-2015-04-27,2015-04-27,PHI,A,STL,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,32.0,0.156,0.031,0.0,0.0,0.094,0.0,0.0,0.0,0.156,0.031,0.031,96.125,0.26,144.0,0.188,0.014,0.0,0.007,0.076,0.007,0.0,0.007,0.229,0.014,0.014,98.257,0
82,STL-2015-04-29,2015-04-29,PHI,A,STL,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0.257,32.0,0.156,0.031,0.0,0.0,0.094,0.0,0.0,0.0,0.156,0.031,0.031,96.125,0.26,144.0,0.188,0.014,0.0,0.007,0.076,0.007,0.0,0.007,0.229,0.014,0.014,98.257,0
83,STL-2015-04-30,2015-04-30,PHI,A,STL,2B,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,291,0.257,32.0,0.156,0.031,0.0,0.0,0.094,0.0,0.0,0.0,0.125,0.031,0.031,96.031,0.258,145.0,0.186,0.014,0.0,0.007,0.076,0.007,0.0,0.007,0.228,0.014,0.014,98.248,0
84,MIA-2015-05-01,2015-05-01,PHI,A,MIA,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0.263,34.0,0.147,0.029,0.0,0.0,0.118,0.0,0.0,0.0,0.118,0.029,0.029,96.0,0.264,148.0,0.189,0.014,0.0,0.007,0.081,0.007,0.0,0.007,0.223,0.014,0.014,98.223,0
85,MIA-2015-05-02,2015-05-02,PHI,A,MIA,PH 2B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0.263,34.0,0.147,0.029,0.0,0.0,0.118,0.0,0.0,0.0,0.088,0.029,0.029,95.912,0.262,149.0,0.188,0.013,0.0,0.007,0.081,0.007,0.0,0.007,0.221,0.013,0.013,98.215,0
86,MIA-2015-05-03,2015-05-03,PHI,A,MIA,SS,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,388,0.269,30.0,0.133,0.033,0.0,0.0,0.133,0.0,0.0,0.0,0.067,0.033,0.033,95.267,0.26,150.0,0.187,0.013,0.0,0.007,0.08,0.007,0.0,0.007,0.22,0.013,0.013,98.207,0
87,ATL-2015-05-04,2015-05-04,PHI,A,ATL,3B,5,2,0,1,0,0,0,1,3,0,0,0,0,0,0,495,0.265,33.0,0.121,0.03,0.0,0.0,0.152,0.0,0.0,0.0,0.061,0.03,0.03,95.485,0.258,154.0,0.182,0.013,0.0,0.006,0.084,0.006,0.0,0.006,0.214,0.013,0.013,98.175,0
88,ATL-2015-05-05,2015-05-05,PHI,A,ATL,2B,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,297,0.31,38.0,0.132,0.026,0.0,0.0,0.211,0.0,0.0,0.0,0.053,0.026,0.026,95.947,0.268,159.0,0.182,0.013,0.0,0.006,0.101,0.006,0.0,0.006,0.208,0.013,0.013,98.201,0
89,ATL-2015-05-06,2015-05-06,PHI,A,ATL,2B,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,396,0.328,36.0,0.139,0.028,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.028,0.028,96.333,0.273,162.0,0.185,0.012,0.0,0.006,0.105,0.006,0.0,0.006,0.204,0.012,0.012,98.216,0
90,PHI-2015-05-09,2015-05-09,PHI,H,NYM,2B,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,400,0.305,38.0,0.105,0.026,0.0,0.0,0.237,0.0,0.0,0.0,0.053,0.026,0.026,96.368,0.271,166.0,0.181,0.012,0.0,0.006,0.108,0.006,0.0,0.006,0.211,0.012,0.012,98.235,0
91,PHI-2015-05-10,2015-05-10,PHI,H,NYM,PH 2B,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,200,0.294,38.0,0.132,0.0,0.0,0.0,0.237,0.0,0.0,0.0,0.053,0.026,0.026,96.263,0.274,170.0,0.182,0.012,0.0,0.006,0.112,0.006,0.0,0.006,0.206,0.012,0.012,98.276,0
92,PHI-2015-05-11,2015-05-11,PHI,H,PIT,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.325,40.0,0.175,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.05,0.025,0.025,96.45,0.281,172.0,0.192,0.012,0.0,0.006,0.11,0.006,0.0,0.006,0.203,0.012,0.012,98.297,0
93,PHI-2015-05-12,2015-05-12,PHI,H,PIT,3B,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,400,0.317,41.0,0.171,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.049,0.024,0.024,96.537,0.279,173.0,0.191,0.012,0.0,0.006,0.11,0.006,0.0,0.006,0.202,0.012,0.012,98.306,0
