,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,TEX-2014-03-31,2014-03-31,TEX,H,PHI,RF,5,5,3,3,0,0,1,3,0,0,0,0,0,0,0
1,TEX-2014-04-01,2014-04-01,TEX,H,PHI,RF,4,3,1,1,1,0,0,0,1,1,0,0,0,0,0
2,TEX-2014-04-02,2014-04-02,TEX,H,PHI,RF,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
3,TBR-2014-04-04,2014-04-04,TEX,A,TBR,RF,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
4,TBR-2014-04-05,2014-04-05,TEX,A,TBR,DH,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0
5,TBR-2014-04-06,2014-04-06,TEX,A,TBR,RF,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
6,BOS-2014-04-07,2014-04-07,TEX,A,BOS,RF,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0
7,BOS-2014-04-08,2014-04-08,TEX,A,BOS,RF,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0
8,BOS-2014-04-09,2014-04-09,TEX,A,BOS,RF,4,2,0,0,0,0,0,1,1,0,1,0,0,1,0
9,TEX-2014-04-11,2014-04-11,TEX,H,HOU,RF,6,5,0,0,0,0,0,0,1,0,2,0,0,0,0
10,TEX-2014-04-12,2014-04-12,TEX,H,HOU,RF,5,5,0,1,1,0,0,1,0,0,0,0,0,0,1
11,TEX-2014-04-13,2014-04-13,TEX,H,HOU,RF,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
12,TEX-2014-04-14,2014-04-14,TEX,H,SEA,RF,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1
13,TEX-2014-04-15,2014-04-15,TEX,H,SEA,RF,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,TEX-2014-04-16,2014-04-16,TEX,H,SEA,RF,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0
15,TEX-2014-04-17,2014-04-17,TEX,H,SEA,RF,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0
16,TEX-2014-04-18,2014-04-18,TEX,H,CHW,DH,5,5,3,3,1,0,0,2,0,0,0,0,0,0,0
17,TEX-2014-04-19,2014-04-19,TEX,H,CHW,RF,4,4,0,3,1,0,0,1,0,0,1,0,0,0,0
18,TEX-2014-04-20,2014-04-20,TEX,H,CHW,RF,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
19,OAK-2014-04-21,2014-04-21,TEX,A,OAK,RF,5,4,0,2,0,0,0,0,1,0,1,0,0,0,0
20,OAK-2014-04-22,2014-04-22,TEX,A,OAK,RF,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
21,OAK-2014-04-23,2014-04-23,TEX,A,OAK,RF,4,4,0,1,0,1,0,1,0,0,2,0,0,0,1
22,SEA-2014-04-25,2014-04-25,TEX,A,SEA,RF,4,3,0,2,1,0,0,0,1,0,0,0,0,0,1
23,SEA-2014-04-26,2014-04-26,TEX,A,SEA,RF,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0
24,SEA-2014-04-27,2014-04-27,TEX,A,SEA,RF,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0
25,TEX-2014-04-28,2014-04-28,TEX,H,OAK,RF,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
26,TEX-2014-04-29,2014-04-29,TEX,H,OAK,RF,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0
27,TEX-2014-04-30,2014-04-30,TEX,H,OAK,RF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
28,LAA-2014-05-02,2014-05-02,TEX,A,LAA,RF,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0
29,LAA-2014-05-03,2014-05-03,TEX,A,LAA,RF,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0
30,LAA-2014-05-04,2014-05-04,TEX,A,LAA,RF,6,5,0,1,0,1,0,3,1,0,1,0,0,0,0
31,COL-2014-05-05,2014-05-05,TEX,A,COL,RF,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2
32,COL-2014-05-06,2014-05-06,TEX,A,COL,RF,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
33,TEX-2014-05-07,2014-05-07,TEX,H,COL,RF,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0
34,TEX-2014-05-08,2014-05-08,TEX,H,COL,RF,4,2,1,2,1,0,0,0,2,1,0,0,0,0,0
35,TEX-2014-05-09,2014-05-09,TEX,H,BOS,RF,4,3,1,1,0,0,0,2,0,0,0,0,0,1,0
36,TEX-2014-05-10,2014-05-10,TEX,H,BOS,DH,4,4,0,1,0,1,0,1,0,0,1,0,0,0,0
37,TEX-2014-05-11,2014-05-11,TEX,H,BOS,RF,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0
38,HOU-2014-05-12,2014-05-12,TEX,A,HOU,RF,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0
39,HOU-2014-05-13,2014-05-13,TEX,A,HOU,RF,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1
40,HOU-2014-05-14,2014-05-14,TEX,A,HOU,RF,4,4,1,1,0,0,1,1,0,0,0,0,0,0,1
41,TEX-2014-05-16,2014-05-16,TEX,H,TOR,RF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
42,TEX-2014-05-17,2014-05-17,TEX,H,TOR,DH,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
43,TEX-2014-05-18,2014-05-18,TEX,H,TOR,RF,4,4,1,1,0,1,0,2,0,0,0,0,0,0,0
44,TEX-2014-05-20,2014-05-20,TEX,H,SEA,RF,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0
45,TEX-2014-05-21,2014-05-21,TEX,H,SEA,RF,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0
46,DET-2014-05-22,2014-05-22,TEX,A,DET,RF,5,5,2,2,1,0,0,1,0,0,1,0,0,0,0
47,DET-2014-05-23,2014-05-23,TEX,A,DET,RF,4,4,1,2,1,0,0,0,0,0,0,0,0,0,2
48,DET-2014-05-24,2014-05-24,TEX,A,DET,RF,5,5,1,3,0,0,0,0,0,0,1,0,0,0,0
49,DET-2014-05-25,2014-05-25,TEX,A,DET,RF,6,6,1,2,0,1,0,3,0,0,1,0,0,0,0
50,MIN-2014-05-26,2014-05-26,TEX,A,MIN,RF,4,3,2,2,1,0,0,0,1,1,0,0,0,0,0
51,MIN-2014-05-27,2014-05-27,TEX,A,MIN,RF,4,4,1,3,1,1,0,0,0,0,0,0,0,0,1
52,MIN-2014-05-28,2014-05-28,TEX,A,MIN,DH,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
53,MIN-2014-05-29,2014-05-29,TEX,A,MIN,RF,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0
54,WSN-2014-05-30,2014-05-30,TEX,A,WSN,RF,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1
55,WSN-2014-05-31,2014-05-31,TEX,A,WSN,RF,3,2,1,0,0,0,0,0,1,0,2,0,0,0,0
56,WSN-2014-06-01,2014-06-01,TEX,A,WSN,RF,4,4,0,2,0,0,0,0,0,0,1,0,0,0,1
57,TEX-2014-06-03,2014-06-03,TEX,H,BAL,RF,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0
58,TEX-2014-06-04,2014-06-04,TEX,H,BAL,RF,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0
59,TEX-2014-06-05,2014-06-05,TEX,H,BAL,DH,4,4,0,2,0,0,0,1,0,0,2,0,0,0,0
