,pitcher_id,innings_pitched,hits,earned_runs,walks,strikeouts,homeruns,pitches,strikes
0,432934,6.0,7,4,2,7,2,101,59
1,425492,1.0,2,0,1,1,0,20,10
2,462985,1.0,0,0,0,1,0,15,9
