,pitcher_id,innings_pitched,hits,earned_runs,walks,strikeouts,homeruns,pitches,strikes
0,608344,6.0,6,4,0,3,1,85,67
1,572143,1.0,1,0,1,0,0,22,12
2,592135,1.0,1,0,1,1,0,25,16
3,666200,1.0,0,0,0,1,0,8,6
