,pitcher_id,innings_pitched,hits,earned_runs,walks,strikeouts,homeruns,pitches,strikes
0,605347,6.0,3,2,2,5,1,93,58
1,623470,0.2,1,1,0,2,0,12,7
2,663992,0.1,1,0,0,1,0,9,5
3,503449,1.0,3,1,0,0,0,14,10
4,502202,1.0,3,2,0,1,0,24,17
5,642098,1.0,1,1,0,0,1,19,10
