,pitcher_id,innings_pitched,hits,earned_runs,walks,strikeouts,homeruns,pitches,strikes
0,595881,4.2,5,4,2,7,1,95,61
1,641627,1.1,1,0,1,1,0,23,14
2,453343,1.0,0,0,0,2,0,13,9
3,453265,1.0,1,1,0,0,1,8,6
4,519293,1.0,0,0,0,2,0,16,10
