,game_id,game_date,venue_id,opponent_id,home
0,634642,2021-04-01,3313,141,1
1,634644,2021-04-03,3313,141,1
2,634607,2021-04-04,3313,141,1
3,634587,2021-04-05,3313,110,1
4,634599,2021-04-06,3313,110,1
5,634539,2021-04-07,3313,110,1
6,634499,2021-04-09,12,139,0
7,632217,2021-04-10,12,139,0
8,632232,2021-04-11,12,139,0
9,632203,2021-04-12,2536,141,0
10,634569,2021-04-13,2536,141,0
11,634513,2021-04-14,2536,141,0
12,634464,2021-04-16,3313,139,1
13,634500,2021-04-17,3313,139,1
14,634458,2021-04-18,3313,139,1
15,634422,2021-04-20,3313,144,1
16,634504,2021-04-21,3313,144,1
17,634436,2021-04-22,5,114,0
18,634437,2021-04-23,5,114,0
19,634486,2021-04-24,5,114,0
20,634372,2021-04-25,5,114,0
21,634433,2021-04-26,2,110,0
22,634387,2021-04-27,2,110,0
23,634362,2021-04-28,2,110,0
24,634300,2021-04-29,2,110,0
25,634327,2021-04-30,3313,116,1
26,634295,2021-05-01,3313,116,1
27,634311,2021-05-02,3313,116,1
28,634269,2021-05-04,3313,117,1
29,634217,2021-05-05,3313,117,1
30,634224,2021-05-06,3313,117,1
31,634234,2021-05-07,3313,120,1
32,634221,2021-05-08,3313,120,1
33,634218,2021-05-09,3313,120,1
34,634169,2021-05-11,12,139,0
35,634210,2021-05-12,12,139,0
36,634126,2021-05-13,12,139,0
37,634146,2021-05-14,2,110,0
38,634104,2021-05-15,2,110,0
39,634086,2021-05-16,2,110,0
40,634099,2021-05-17,5325,140,0
41,634067,2021-05-18,5325,140,0
42,634168,2021-05-19,5325,140,0
43,634047,2021-05-20,5325,140,0
44,634014,2021-05-21,3313,145,1
45,634035,2021-05-22,3313,145,1
46,634009,2021-05-23,3313,145,1
47,633956,2021-05-25,3313,141,1
48,633910,2021-05-26,3313,141,1
49,633974,2021-05-27,3313,141,1
50,633910,2021-05-27,3313,141,1
51,633961,2021-05-28,2394,116,0
52,633949,2021-05-29,2394,116,0
53,633854,2021-05-30,2394,116,0
54,633898,2021-05-31,3313,139,1
55,633861,2021-06-01,3313,139,1
56,633882,2021-06-02,3313,139,1
57,633819,2021-06-03,3313,139,1
58,633824,2021-06-04,3313,111,1
59,633852,2021-06-05,3313,111,1
60,633812,2021-06-06,3313,111,1
61,633804,2021-06-08,3312,142,0
62,633792,2021-06-09,3312,142,0
63,633790,2021-06-10,3312,142,0
64,633763,2021-06-12,2681,143,0
65,633715,2021-06-13,2681,143,0
66,633653,2021-06-15,2756,141,0
67,633695,2021-06-16,2756,141,0
68,633633,2021-06-17,2756,141,0
69,633609,2021-06-18,3313,133,1
70,633606,2021-06-19,3313,133,1
71,633575,2021-06-20,3313,133,1
72,633621,2021-06-22,3313,118,1
73,633551,2021-06-23,3313,118,1
74,633559,2021-06-24,3313,118,1
