,game_id,game_date,venue_id,opponent_id,home
0,446911,2016-04-03,12,139,0
1,446878,2016-04-04,12,139,0
2,446887,2016-04-05,12,139,0
3,446901,2016-04-06,12,139,0
4,446912,2016-04-08,14,111,1
5,446927,2016-04-09,14,111,1
6,446942,2016-04-10,14,111,1
7,446976,2016-04-12,14,147,1
8,446992,2016-04-13,14,147,1
9,447004,2016-04-14,14,147,1
10,447020,2016-04-15,3,111,0
11,447035,2016-04-16,3,111,0
12,447050,2016-04-17,3,111,0
13,447057,2016-04-18,3,111,0
14,447072,2016-04-19,2,110,0
15,447087,2016-04-20,2,110,0
16,447101,2016-04-21,2,110,0
17,447111,2016-04-22,14,133,1
18,447126,2016-04-23,14,133,1
19,447141,2016-04-24,14,133,1
20,447150,2016-04-25,14,145,1
21,447163,2016-04-26,14,145,1
22,447178,2016-04-27,14,145,1
23,447212,2016-04-29,12,139,0
24,447227,2016-04-30,12,139,0
25,447242,2016-05-01,12,139,0
26,447252,2016-05-02,14,140,1
27,447267,2016-05-03,14,140,1
28,447282,2016-05-04,14,140,1
29,447293,2016-05-05,14,140,1
30,447299,2016-05-06,14,119,1
31,447314,2016-05-07,14,119,1
32,447329,2016-05-08,14,119,1
33,447352,2016-05-09,2395,137,0
34,447367,2016-05-10,2395,137,0
35,447382,2016-05-11,2395,137,0
36,447405,2016-05-13,13,140,0
37,447420,2016-05-14,13,140,0
38,447435,2016-05-15,13,140,0
39,447442,2016-05-16,14,139,1
40,447456,2016-05-17,14,139,1
41,447471,2016-05-18,14,139,1
42,447484,2016-05-19,3312,142,0
43,447499,2016-05-20,3312,142,0
44,447514,2016-05-21,3312,142,0
45,447529,2016-05-22,3312,142,0
46,447554,2016-05-24,3313,147,0
47,447569,2016-05-25,3313,147,0
48,447578,2016-05-26,3313,147,0
49,447580,2016-05-27,14,111,1
50,447595,2016-05-28,14,111,1
51,447610,2016-05-29,14,111,1
52,447631,2016-05-30,14,147,1
53,447646,2016-05-31,14,147,1
54,447661,2016-06-01,14,147,1
55,447692,2016-06-03,3,111,0
56,447707,2016-06-04,3,111,0
57,447722,2016-06-05,3,111,0
58,447733,2016-06-06,2394,116,0
59,447747,2016-06-07,2394,116,0
60,447762,2016-06-08,2394,116,0
61,447764,2016-06-09,14,110,1
62,447772,2016-06-10,14,110,1
63,447787,2016-06-11,14,110,1
64,447802,2016-06-12,14,110,1
65,447825,2016-06-13,14,143,1
66,447838,2016-06-14,14,143,1
67,447856,2016-06-15,2681,143,0
68,447865,2016-06-16,2681,143,0
69,447880,2016-06-17,2,110,0
70,447895,2016-06-18,2,110,0
71,447910,2016-06-19,2,110,0
72,447921,2016-06-21,14,109,1
73,447936,2016-06-22,14,109,1
74,447973,2016-06-24,4,145,0
75,447988,2016-06-25,4,145,0
76,448003,2016-06-26,4,145,0
77,448015,2016-06-27,19,115,0
78,448030,2016-06-28,19,115,0
79,448045,2016-06-29,19,115,0
80,448049,2016-06-30,14,114,1
81,448061,2016-07-01,14,114,1
82,448076,2016-07-02,14,114,1
83,448091,2016-07-03,14,114,1
84,448107,2016-07-04,14,118,1
85,448122,2016-07-05,14,118,1
86,448137,2016-07-06,14,118,1
87,448147,2016-07-07,14,116,1
88,448161,2016-07-08,14,116,1
89,448176,2016-07-09,14,116,1
90,448191,2016-07-10,14,116,1
91,448217,2016-07-15,10,133,0
92,448232,2016-07-16,10,133,0
93,448247,2016-07-17,10,133,0
94,448273,2016-07-19,15,109,0
95,448288,2016-07-20,15,109,0
96,448311,2016-07-22,14,136,1
97,448326,2016-07-23,14,136,1
98,448341,2016-07-24,14,136,1
99,448353,2016-07-25,14,135,1
100,448365,2016-07-26,14,135,1
101,448380,2016-07-27,14,135,1
102,448394,2016-07-29,14,110,1
103,448409,2016-07-30,14,110,1
104,448424,2016-07-31,14,110,1
105,448444,2016-08-01,2392,117,0
106,448459,2016-08-02,2392,117,0
107,448474,2016-08-03,2392,117,0
108,448487,2016-08-04,2392,117,0
109,448502,2016-08-05,7,118,0
110,448517,2016-08-06,7,118,0
111,448532,2016-08-07,7,118,0
112,448539,2016-08-08,14,139,1
113,448554,2016-08-09,14,139,1
114,448570,2016-08-10,14,139,1
115,448589,2016-08-12,14,117,1
116,448604,2016-08-13,14,117,1
117,448619,2016-08-14,14,117,1
118,448633,2016-08-15,3313,147,0
119,448648,2016-08-16,3313,147,0
120,448663,2016-08-17,3313,147,0
121,448690,2016-08-19,5,114,0
122,448705,2016-08-20,5,114,0
123,448720,2016-08-21,5,114,0
124,448739,2016-08-23,14,108,1
125,448755,2016-08-24,14,108,1
126,448767,2016-08-25,14,108,1
127,448780,2016-08-26,14,142,1
128,448795,2016-08-27,14,142,1
129,448810,2016-08-28,14,142,1
130,448828,2016-08-29,2,110,0
131,448843,2016-08-30,2,110,0
132,448858,2016-08-31,2,110,0
133,448877,2016-09-02,12,139,0
134,448892,2016-09-03,12,139,0
135,448907,2016-09-04,12,139,0
136,448923,2016-09-05,3313,147,0
