,game_id,game_code,date,venue_id,opp_id,home
166,382965,CIN-2014-09-28,2014-09-28,2602,113,0
0,413658,CIN-2015-04-06,2015-04-06,2602,113,0
1,413680,CIN-2015-04-08,2015-04-08,2602,113,0
2,413691,CIN-2015-04-09,2015-04-09,2602,113,0
3,413704,MIL-2015-04-10,2015-04-10,32,158,0
4,413719,MIL-2015-04-11,2015-04-11,32,158,0
5,413734,MIL-2015-04-12,2015-04-12,32,158,0
6,413745,PIT-2015-04-13,2015-04-13,31,116,1
7,413760,PIT-2015-04-14,2015-04-14,31,116,1
8,413773,PIT-2015-04-15,2015-04-15,31,116,1
9,413798,PIT-2015-04-17,2015-04-17,31,158,1
10,413813,PIT-2015-04-18,2015-04-18,31,158,1
11,413828,PIT-2015-04-19,2015-04-19,31,158,1
12,413835,PIT-2015-04-20,2015-04-20,31,112,1
13,413846,PIT-2015-04-21,2015-04-21,31,112,1
14,413861,PIT-2015-04-22,2015-04-22,31,112,1
15,413876,PIT-2015-04-23,2015-04-23,31,112,1
16,413894,ARI-2015-04-24,2015-04-24,15,109,0
17,413909,ARI-2015-04-25,2015-04-25,15,109,0
18,413924,ARI-2015-04-26,2015-04-26,15,109,0
19,413938,CHC-2015-04-27,2015-04-27,17,112,0
20,413953,CHC-2015-04-28,2015-04-28,17,112,0
21,413968,CHC-2015-04-29,2015-04-29,17,112,0
22,413992,STL-2015-05-01,2015-05-01,2889,138,0
23,414007,STL-2015-05-02,2015-05-02,2889,138,0
24,414022,STL-2015-05-03,2015-05-03,2889,138,0
25,414041,PIT-2015-05-05,2015-05-05,31,113,1
26,414056,PIT-2015-05-06,2015-05-06,31,113,1
27,414070,PIT-2015-05-07,2015-05-07,31,113,1
28,414092,PIT-2015-05-08,2015-05-08,31,138,1
29,414107,PIT-2015-05-09,2015-05-09,31,138,1
30,414122,PIT-2015-05-10,2015-05-10,31,138,1
31,414131,PHI-2015-05-11,2015-05-11,2681,143,0
32,414143,PHI-2015-05-12,2015-05-12,2681,143,0
33,414158,PHI-2015-05-13,2015-05-13,2681,143,0
34,414170,PHI-2015-05-14,2015-05-14,2681,143,0
35,414185,CHC-2015-05-15,2015-05-15,17,112,0
36,414200,CHC-2015-05-16,2015-05-16,17,112,0
37,414215,CHC-2015-05-17,2015-05-17,17,112,0
38,414234,PIT-2015-05-19,2015-05-19,31,142,1
39,414249,PIT-2015-05-20,2015-05-20,31,142,1
40,414276,PIT-2015-05-22,2015-05-22,31,121,1
41,414291,PIT-2015-05-23,2015-05-23,31,121,1
42,414306,PIT-2015-05-24,2015-05-24,31,121,1
43,414322,PIT-2015-05-25,2015-05-25,31,146,1
44,414337,PIT-2015-05-26,2015-05-26,31,146,1
45,414352,PIT-2015-05-27,2015-05-27,31,146,1
46,414364,SDP-2015-05-28,2015-05-28,2680,135,0
47,414376,SDP-2015-05-29,2015-05-29,2680,135,0
48,414391,SDP-2015-05-30,2015-05-30,2680,135,0
49,414406,SDP-2015-05-31,2015-05-31,2680,135,0
50,414418,SFG-2015-06-01,2015-06-01,2395,137,0
51,414433,SFG-2015-06-02,2015-06-02,2395,137,0
52,414448,SFG-2015-06-03,2015-06-03,2395,137,0
53,414470,ATL-2015-06-05,2015-06-05,16,144,0
54,414485,ATL-2015-06-06,2015-06-06,16,144,0
55,414500,ATL-2015-06-07,2015-06-07,16,144,0
56,414510,PIT-2015-06-08,2015-06-08,31,158,1
57,414521,PIT-2015-06-09,2015-06-09,31,158,1
58,414536,PIT-2015-06-10,2015-06-10,31,158,1
59,414564,PIT-2015-06-12,2015-06-12,31,143,1
60,414579,PIT-2015-06-13,2015-06-13,31,143,1
61,414594,PIT-2015-06-14,2015-06-14,31,143,1
62,414600,PIT-2015-06-15,2015-06-15,31,145,1
63,414615,PIT-2015-06-16,2015-06-16,31,145,1
64,414637,CHW-2015-06-17,2015-06-17,4,145,0
65,414652,CHW-2015-06-18,2015-06-18,4,145,0
66,414667,WSN-2015-06-19,2015-06-19,3309,120,0
67,414682,WSN-2015-06-20,2015-06-20,3309,120,0
68,414697,WSN-2015-06-21,2015-06-21,3309,120,0
69,414714,PIT-2015-06-23,2015-06-23,31,113,1
70,414729,PIT-2015-06-24,2015-06-24,31,113,1
71,414744,PIT-2015-06-25,2015-06-25,31,113,1
72,414752,PIT-2015-06-26,2015-06-26,31,144,1
73,414767,PIT-2015-06-27,2015-06-27,31,144,1
74,414782,PIT-2015-06-28,2015-06-28,31,144,1
75,414815,DET-2015-06-30,2015-06-30,2394,116,0
76,414830,DET-2015-07-01,2015-07-01,2394,116,0
77,414841,DET-2015-07-02,2015-07-02,2394,116,0
78,414849,PIT-2015-07-03,2015-07-03,31,114,1
79,414864,PIT-2015-07-04,2015-07-04,31,114,1
80,414879,PIT-2015-07-05,2015-07-05,31,114,1
81,414899,PIT-2015-07-06,2015-07-06,31,135,1
82,414914,PIT-2015-07-07,2015-07-07,31,135,1
83,414929,PIT-2015-07-08,2015-07-08,31,135,1
84,414940,PIT-2015-07-09,2015-07-09,31,138,1
85,414955,PIT-2015-07-10,2015-07-10,31,138,1
86,414970,PIT-2015-07-11,2015-07-11,31,138,1
87,414985,PIT-2015-07-12,2015-07-12,31,138,1
88,414999,MIL-2015-07-17,2015-07-17,32,158,0
89,415014,MIL-2015-07-18,2015-07-18,32,158,0
90,415029,MIL-2015-07-19,2015-07-19,32,158,0
91,415039,KCR-2015-07-20,2015-07-20,7,118,0
92,415052,KCR-2015-07-21,2015-07-21,7,118,0
93,415067,KCR-2015-07-22,2015-07-22,7,118,0
94,415083,PIT-2015-07-23,2015-07-23,31,120,1
95,415098,PIT-2015-07-24,2015-07-24,31,120,1
96,415113,PIT-2015-07-25,2015-07-25,31,120,1
97,415128,PIT-2015-07-26,2015-07-26,31,120,1
98,415150,MIN-2015-07-28,2015-07-28,3312,142,0
99,415165,MIN-2015-07-29,2015-07-29,3312,142,0
