,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
22,ATL-2015-04-11,2015-04-11,NYM,A,ATL,22,21,5.0,5,8,3,1,1,0,0,2,0,0,1,14,6,4,0,99,2178,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,489.0,0.164,0.035,0.004,0.027,0.074,0.0,0.01,0.025,0.164,0.006,97.671,1
23,NYM-2015-04-16,2015-04-16,NYM,H,MIA,23,21,5.2,4,5,0,0,2,2,0,7,0,0,0,9,5,1,1,4,2185,0.48,23.0,0.13,0.13,0.043,0.043,0.0,0.0,0.0,0.043,0.087,0.0,94.696,0.332,488.0,0.168,0.037,0.006,0.029,0.074,0.0,0.01,0.027,0.162,0.006,97.385,0
24,NYM-2015-04-22,2015-04-22,NYM,H,ATL,28,26,7.0,2,8,1,1,0,1,1,3,0,1,2,12,12,8,1,5,2660,0.414,46.0,0.13,0.065,0.022,0.065,0.043,0.0,0.0,0.022,0.196,0.0,94.848,0.335,486.0,0.16,0.037,0.006,0.033,0.074,0.0,0.01,0.027,0.169,0.006,97.395,0
25,MIA-2015-04-27,2015-04-27,NYM,A,MIA,29,29,7.2,1,6,0,0,0,0,0,3,0,0,0,18,8,3,1,4,2813,0.381,74.0,0.162,0.054,0.027,0.041,0.041,0.014,0.0,0.041,0.162,0.014,94.905,0.344,485.0,0.167,0.039,0.008,0.033,0.068,0.002,0.01,0.027,0.163,0.008,97.4,0
26,NYM-2015-05-03,2015-05-03,NYM,H,WSN,26,21,5.0,1,6,3,0,0,5,1,5,0,0,0,8,8,3,2,5,2470,0.282,81.0,0.185,0.012,0.012,0.025,0.037,0.012,0.0,0.025,0.16,0.012,94.543,0.335,514.0,0.169,0.037,0.008,0.031,0.064,0.002,0.01,0.025,0.16,0.008,97.377,0
27,SDP-2015-06-03,2015-06-03,NYM,A,SDP,24,20,4.0,4,8,0,0,0,1,0,1,1,1,1,9,12,7,1,30,2280,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.341,488.0,0.168,0.039,0.008,0.031,0.074,0.004,0.006,0.027,0.166,0.006,96.326,1
28,NYM-2015-06-09,2015-06-09,NYM,H,SFG,8,7,1.2,1,3,1,0,1,1,0,0,0,0,0,1,6,3,0,5,760,0.368,25.0,0.32,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,91.2,0.343,512.0,0.176,0.037,0.008,0.029,0.072,0.004,0.008,0.027,0.16,0.008,96.264,0
29,NYM-2015-06-14,2015-06-14,NYM,H,ATL,23,22,3.2,8,11,3,0,1,1,1,4,0,0,0,7,11,7,0,4,2185,0.43,33.0,0.273,0.03,0.0,0.03,0.061,0.0,0.03,0.03,0.03,0.03,92.121,0.347,520.0,0.175,0.038,0.008,0.031,0.073,0.004,0.008,0.027,0.158,0.008,96.244,0
30,KCR-2016-04-10,2016-04-10,KCR,H,MIN,10,8,2.0,0,2,0,0,0,2,1,3,0,0,0,2,3,1,0,99,1010,0.322,76.0,0.149,0.045,0.005,0.031,0.082,0.005,0.009,0.02,0.211,0.007,100.0,0.37,162.0,0.21,0.049,0.006,0.025,0.068,0.019,0.006,0.019,0.142,0.012,94.772,1
31,OAK-2016-04-16,2016-04-16,KCR,A,OAK,14,11,3.0,1,2,0,0,1,2,1,0,0,0,0,5,7,2,2,5,1372,0.322,76.0,0.149,0.045,0.005,0.031,0.082,0.005,0.009,0.02,0.211,0.007,100.0,0.371,149.0,0.221,0.054,0.007,0.013,0.074,0.027,0.007,0.02,0.128,0.013,95.154,1
