,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
69,SEA-2015-04-06,2015-04-06,SEA,H,LAA,3,2,1.0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,99,288,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.302,282.0,0.167,0.035,0.0,0.011,0.099,0.011,0.011,0.018,0.259,0.004,97.5,1
70,OAK-2015-04-11,2015-04-11,SEA,A,OAK,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,294,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.301,276.0,0.17,0.033,0.0,0.011,0.098,0.011,0.011,0.022,0.25,0.004,97.533,1
71,OAK-2015-04-12,2015-04-12,SEA,A,OAK,8,6,1.0,4,4,2,0,0,2,0,0,0,0,1,3,3,3,0,0,784,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.298,279.0,0.168,0.032,0.0,0.011,0.097,0.011,0.011,0.022,0.251,0.004,97.538,1
72,LAD-2015-04-14,2015-04-14,SEA,A,LAD,5,4,0.1,2,3,0,0,0,1,0,0,0,0,0,2,2,2,0,1,480,0.317,76.0,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.31,287.0,0.171,0.038,0.0,0.01,0.101,0.01,0.01,0.024,0.244,0.003,97.551,1
73,SEA-2015-04-18,2015-04-18,SEA,H,TEX,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,288,0.509,20.0,0.25,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.05,0.0,92.3,0.314,286.0,0.175,0.038,0.0,0.01,0.101,0.01,0.01,0.024,0.241,0.003,97.388,0
74,SEA-2015-04-21,2015-04-21,SEA,H,HOU,3,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,288,0.439,23.0,0.217,0.087,0.0,0.0,0.174,0.0,0.0,0.087,0.087,0.0,92.783,0.309,284.0,0.169,0.039,0.0,0.011,0.102,0.011,0.011,0.025,0.243,0.004,97.363,0
75,SEA-2015-04-22,2015-04-22,SEA,H,HOU,5,5,1.0,0,2,0,0,0,0,0,1,0,0,0,2,2,1,1,0,480,0.387,26.0,0.192,0.077,0.0,0.0,0.154,0.0,0.0,0.077,0.192,0.0,93.154,0.305,287.0,0.167,0.038,0.0,0.01,0.101,0.01,0.01,0.024,0.251,0.003,97.348,0
76,SEA-2015-04-26,2015-04-26,SEA,H,MIN,5,4,1.0,0,1,0,0,0,1,1,1,0,0,0,3,0,0,0,3,480,0.381,31.0,0.226,0.065,0.0,0.0,0.129,0.0,0.0,0.065,0.194,0.0,93.613,0.299,280.0,0.168,0.039,0.0,0.011,0.093,0.011,0.007,0.025,0.257,0.004,97.382,0
77,TEX-2015-04-27,2015-04-27,SEA,A,TEX,5,4,1.0,0,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,525,0.397,33.0,0.242,0.061,0.0,0.0,0.121,0.03,0.0,0.03,0.212,0.0,93.758,0.303,282.0,0.17,0.039,0.0,0.011,0.096,0.014,0.007,0.025,0.252,0.004,97.372,0
78,TEX-2015-04-28,2015-04-28,SEA,A,TEX,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,315,0.385,38.0,0.237,0.053,0.0,0.0,0.132,0.026,0.0,0.026,0.211,0.0,95.237,0.303,287.0,0.171,0.038,0.0,0.01,0.098,0.014,0.007,0.024,0.251,0.003,97.505,0
79,TEX-2015-04-29,2015-04-29,SEA,A,TEX,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,315,0.356,41.0,0.22,0.049,0.0,0.0,0.122,0.024,0.0,0.024,0.244,0.0,95.951,0.296,284.0,0.165,0.035,0.0,0.011,0.099,0.014,0.007,0.025,0.25,0.004,97.511,0
80,LAA-2015-05-04,2015-05-04,SEA,A,LAA,4,3,1.0,1,1,0,0,1,1,0,0,0,0,0,0,3,2,0,4,388,0.265,33.0,0.212,0.0,0.0,0.0,0.091,0.03,0.0,0.0,0.303,0.0,96.091,0.296,278.0,0.165,0.036,0.0,0.011,0.101,0.014,0.004,0.025,0.248,0.004,97.532,0
81,SEA-2015-05-08,2015-05-08,SEA,H,OAK,4,4,1.0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,3,384,0.255,32.0,0.125,0.0,0.0,0.031,0.094,0.031,0.0,0.0,0.312,0.0,96.219,0.305,270.0,0.17,0.033,0.0,0.015,0.1,0.015,0.004,0.026,0.244,0.004,97.593,0
82,SEA-2015-05-10,2015-05-10,SEA,H,OAK,4,4,1.0,1,1,0,0,1,0,0,1,0,0,0,0,3,1,0,1,384,0.275,33.0,0.152,0.0,0.0,0.03,0.091,0.03,0.0,0.0,0.333,0.0,96.212,0.305,270.0,0.17,0.033,0.0,0.015,0.1,0.015,0.004,0.026,0.252,0.004,97.593,0
83,SEA-2015-05-14,2015-05-14,SEA,H,BOS,7,3,1.0,1,1,1,0,0,1,0,0,1,1,0,2,3,1,1,3,672,0.327,29.0,0.103,0.0,0.0,0.069,0.103,0.034,0.0,0.0,0.276,0.0,96.241,0.295,267.0,0.161,0.034,0.0,0.015,0.097,0.015,0.004,0.026,0.255,0.004,97.61,0
