,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,ATL-2015-08-16,2015-08-16,ATL,H,ARI,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99,198,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
1,SDP-2015-08-17,2015-08-17,ATL,A,SDP,4,4,1.0,1,2,0,0,1,0,0,0,0,0,1,2,2,1,0,0,380,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
2,SDP-2015-08-19,2015-08-19,ATL,A,SDP,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,95,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
3,CHC-2015-08-21,2015-08-21,ATL,A,CHC,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
4,CHC-2015-08-22,2015-08-22,ATL,A,CHC,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,100,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
5,ATL-2015-08-25,2015-08-25,ATL,H,COL,4,4,1.0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,396,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
6,ATL-2015-08-26,2015-08-26,ATL,H,COL,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
7,ATL-2015-08-30,2015-08-30,ATL,H,NYY,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,99,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
8,ATL-2015-08-31,2015-08-31,ATL,H,MIA,4,4,0.2,1,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,396,0.317,76,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
9,WSN-2015-09-03,2015-09-03,ATL,A,WSN,3,3,1.0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,2,303,0.341,20,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1,0.0,93.15,0.317,680,0.153,0.045,0.005,0.027,0.077,0.005,0.009,0.02,0.204,0.007,100.0,1
