,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,KCR-2016-08-20,2016-08-20,MIN,A,KCR,13,11,2.1,2,5,2,0,0,1,0,0,0,1,0,5,7,3,2,99,1313,0.322,76,0.149,0.045,0.005,0.031,0.082,0.005,0.009,0.02,0.211,0.007,100.0,0.322,684,0.149,0.045,0.005,0.031,0.082,0.005,0.009,0.02,0.211,0.007,100.0,1
1,CHW-2017-04-08,2017-04-08,MIN,A,CHW,10,7,1.2,2,2,1,1,0,2,0,0,1,0,0,3,4,2,2,99,980,0.325,76,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,0.325,686,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,1
2,MIN-2017-04-14,2017-04-14,MIN,H,CHW,20,17,5.0,1,4,2,0,0,3,0,4,0,0,0,5,8,3,1,5,2020,0.325,76,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,0.325,686,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,1
3,MIN-2017-04-22,2017-04-22,MIN,H,DET,16,13,2.2,3,5,1,0,2,3,0,6,0,0,0,2,5,3,1,7,1616,0.373,31,0.065,0.097,0.032,0.0,0.161,0.0,0.032,0.0,0.129,0.0,96.774,0.396,44,0.114,0.114,0.023,0.0,0.136,0.0,0.023,0.0,0.091,0.023,98.023,0
4,MIN-2017-05-21,2017-05-21,MIN,H,KCR,27,25,7.0,3,5,1,0,2,2,0,3,0,0,1,11,11,6,0,28,2727,0.325,76,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,0.443,60,0.117,0.1,0.017,0.033,0.15,0.0,0.017,0.0,0.167,0.017,98.817,1
5,MIN-2017-05-27,2017-05-27,MIN,H,TBR,22,19,5.0,2,6,2,0,0,2,0,6,0,1,0,6,8,5,1,5,2222,0.309,28,0.071,0.036,0.0,0.071,0.071,0.0,0.0,0.036,0.107,0.0,97.393,0.402,87,0.103,0.08,0.011,0.046,0.126,0.0,0.011,0.011,0.149,0.011,99.494,0
6,LAA-2017-06-01,2017-06-01,MIN,A,LAA,23,21,6.0,1,5,1,0,1,2,0,5,0,0,0,10,6,4,0,4,2254,0.32,50,0.12,0.06,0.0,0.04,0.08,0.0,0.0,0.02,0.18,0.02,98.98,0.388,109,0.119,0.083,0.009,0.037,0.119,0.0,0.009,0.009,0.174,0.018,99.798,0
7,SEA-2017-06-07,2017-06-07,MIN,A,SEA,21,16,5.0,3,2,0,0,2,3,0,5,1,1,0,2,10,5,1,5,2016,0.318,73,0.123,0.055,0.0,0.041,0.082,0.0,0.0,0.014,0.192,0.014,98.671,0.376,132,0.121,0.076,0.008,0.038,0.114,0.0,0.008,0.008,0.182,0.015,99.485,0
8,MIN-2017-06-12,2017-06-12,MIN,H,SEA,23,20,3.2,8,9,1,0,0,2,1,4,0,1,0,7,10,7,1,4,2323,0.323,67,0.104,0.045,0.0,0.045,0.104,0.0,0.015,0.0,0.239,0.03,96.896,0.369,153,0.105,0.065,0.007,0.046,0.118,0.0,0.013,0.007,0.19,0.02,99.007,0
9,MIN-2017-06-17,2017-06-17,MIN,H,CLE,21,18,4.2,2,5,1,0,2,3,1,3,0,0,0,8,7,2,0,4,2121,0.358,68,0.162,0.029,0.0,0.044,0.103,0.015,0.015,0.0,0.206,0.029,96.956,0.377,176,0.136,0.062,0.006,0.04,0.114,0.006,0.011,0.006,0.188,0.023,99.267,0
