,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,SDP-2019-08-21,2019-08-21,SDP,A,CIN,5,0.1,1,2,0,0,0,1,0,0,0,0,0,2,2,2,0,99
1,SDP-2019-08-23,2019-08-23,SDP,H,BOS,12,2.2,2,4,0,0,1,0,0,2,0,0,0,6,4,2,0,1
2,SDP-2019-09-09,2019-09-09,SDP,H,CHC,3,0.2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,16
3,SDP-2019-09-13,2019-09-13,SDP,A,COL,6,1.1,0,1,1,0,0,1,0,1,0,0,0,1,3,0,1,3
4,SDP-2019-09-16,2019-09-16,SDP,A,MIL,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
5,SDP-2019-09-20,2019-09-20,SDP,H,ARI,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3
6,SDP-2019-09-22,2019-09-22,SDP,H,ARI,5,1.0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,1
7,SDP-2019-09-26,2019-09-26,SDP,H,LAD,3,1.0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,3
8,SDP-2019-09-27,2019-09-27,SDP,A,ARI,6,1.1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
9,SDP-2019-09-29,2019-09-29,SDP,A,ARI,8,2.0,0,2,0,0,0,0,0,0,0,0,1,8,0,0,0,1
0,MIL-2020-07-25,2020-07-25,MIL,A,CHC,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,99
1,MIL-2020-07-27,2020-07-27,MIL,A,PIT,3,1.0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1
2,MIL-2020-07-28,2020-07-28,MIL,A,PIT,3,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3,MIL-2020-08-03,2020-08-03,MIL,H,CHW,4,0.2,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,5
4,MIL-2020-08-06,2020-08-06,MIL,A,CHW,6,1.0,0,1,1,0,0,1,0,1,0,0,0,3,1,0,0,2
5,MIL-2020-08-07,2020-08-07,MIL,H,CIN,4,1.0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0
6,MIL-2020-08-11,2020-08-11,MIL,H,MIN,4,1.0,0,2,0,0,0,0,0,1,0,0,1,2,1,1,0,3
7,MIL-2020-08-12,2020-08-12,MIL,H,MIN,7,1.2,1,1,0,0,1,1,0,1,0,1,0,1,4,2,0,0
8,MIL-2020-08-16,2020-08-16,MIL,A,CHC,5,1.0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,3
9,MIL-2020-08-18,2020-08-18,MIL,A,MIN,3,0.1,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,1
10,MIL-2020-08-22,2020-08-22,MIL,A,PIT,5,1.0,1,1,0,0,1,0,0,0,0,0,0,3,2,1,1,3
11,MIL-2020-08-27,2020-08-27,MIL,H,CIN,5,1.0,0,1,1,0,0,1,0,2,0,0,0,1,1,1,0,4
12,MIL-2020-08-29,2020-08-29,MIL,H,PIT,5,1.0,0,1,0,0,0,2,0,0,0,0,1,3,0,0,0,1
13,MIL-2020-08-30,2020-08-30,MIL,H,PIT,3,0.1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
14,MIL-2020-09-02,2020-09-02,MIL,H,DET,6,2.0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,2
15,MIL-2020-09-06,2020-09-06,MIL,A,CLE,4,1.0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,3
16,MIL-2020-09-09,2020-09-09,MIL,A,DET,3,1.0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,2
17,MIL-2020-09-12,2020-09-12,MIL,H,CHC,4,1.1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2
18,MIL-2020-09-14,2020-09-14,MIL,H,STL,4,0.1,1,3,1,0,0,0,0,1,0,0,0,1,2,2,0,1
19,MIL-2020-09-16,2020-09-16,MIL,H,STL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
20,MIL-2020-09-18,2020-09-18,MIL,H,KCR,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,MIL-2020-09-23,2020-09-23,MIL,A,CIN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4
22,MIL-2020-09-24,2020-09-24,MIL,A,STL,6,1.1,0,0,0,0,0,2,0,1,0,0,0,1,2,0,2,0
23,MIL-2020-09-27,2020-09-27,MIL,A,STL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2
0,MIL-2021-04-01,2021-04-01,MIL,H,MIN,5,1.0,2,2,1,0,1,0,0,0,0,0,0,3,2,1,0,99
1,MIL-2021-04-04,2021-04-04,MIL,H,MIN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2
2,MIL-2021-04-05,2021-04-05,MIL,A,CHC,4,1.0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
3,MIL-2021-04-08,2021-04-08,MIL,A,STL,7,1.0,1,3,1,0,0,1,1,0,0,0,0,2,4,3,0,2
4,MIL-2021-04-11,2021-04-11,MIL,A,STL,6,1.0,2,2,1,0,0,1,0,0,1,0,0,2,2,0,0,2
5,MIL-2021-04-17,2021-04-17,MIL,H,PIT,4,1.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5
6,MIL-2021-04-20,2021-04-20,MIL,A,SDP,5,1.0,0,2,0,0,0,0,0,1,0,0,0,1,3,1,2,2
7,MIL-2021-04-23,2021-04-23,MIL,A,CHC,3,1.0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2
8,MIL-2021-04-25,2021-04-25,MIL,A,CHC,4,1.0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,1
9,MIL-2021-04-28,2021-04-28,MIL,H,MIA,10,2.0,2,3,0,0,1,1,1,1,0,0,0,5,3,1,0,2
10,MIL-2021-05-25,2021-05-25,MIL,H,SDP,6,1.0,2,3,2,0,0,0,0,0,0,0,0,2,4,3,0,26
11,MIL-2021-05-29,2021-05-29,MIL,A,WSN,4,1.0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3
12,MIL-2021-06-01,2021-06-01,MIL,H,DET,6,1.0,2,1,1,0,0,3,0,0,0,1,1,1,2,1,0,2
13,MIL-2021-06-09,2021-06-09,MIL,A,CIN,4,1.0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,7
14,MIL-2021-06-12,2021-06-12,MIL,H,PIT,3,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
15,MIL-2021-06-14,2021-06-14,MIL,H,CIN,10,2.0,2,1,0,0,1,2,0,0,1,0,0,4,3,0,0,1
16,MIL-2021-06-17,2021-06-17,MIL,A,COL,5,0.2,1,3,0,0,0,0,0,0,0,0,0,4,1,1,0,2
