,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,COL-2018-04-23,2018-04-23,COL,H,SDP,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,99,342,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
1,CHC-2018-05-02,2018-05-02,COL,A,CHC,5,4,1.0,0,1,1,0,0,1,0,0,0,0,0,1,3,1,0,8,495,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
2,COL-2018-05-10,2018-05-10,COL,H,MIL,7,6,2.0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,1,7,798,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
3,COL-2018-05-13,2018-05-13,COL,H,MIL,8,7,1.2,1,2,0,0,1,1,0,1,0,0,0,4,2,1,0,2,912,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
4,SFG-2018-05-20,2018-05-20,COL,A,SFG,6,5,1.1,0,1,0,0,0,1,0,1,0,0,0,0,4,1,1,6,582,0.311,21,0.048,0.048,0.0,0.048,0.143,0.0,0.0,0.0,0.048,0.0,105.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
5,COL-2018-05-28,2018-05-28,COL,H,SFG,6,6,2.0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,7,684,0.279,22,0.091,0.0,0.0,0.045,0.136,0.0,0.0,0.0,0.091,0.0,104.182,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
6,COL-2018-05-30,2018-05-30,COL,H,SFG,7,6,1.2,2,2,0,1,0,0,0,1,1,0,1,2,3,3,0,1,798,0.217,28,0.071,0.0,0.0,0.036,0.107,0.0,0.0,0.0,0.107,0.0,106.286,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
7,COL-2018-06-02,2018-06-02,COL,H,LAD,10,9,2.2,1,1,0,1,0,1,0,2,0,0,0,1,6,3,2,2,1140,0.309,28,0.107,0.0,0.036,0.036,0.071,0.0,0.036,0.036,0.143,0.0,106.286,0.259,43,0.07,0.023,0.023,0.023,0.093,0.0,0.023,0.023,0.116,0.0,107.233,0
8,CIN-2018-06-06,2018-06-06,COL,A,CIN,8,6,1.2,0,1,0,0,0,2,0,3,0,0,0,0,3,2,0,3,816,0.242,30,0.067,0.0,0.067,0.0,0.067,0.0,0.033,0.033,0.167,0.0,106.8,0.253,53,0.057,0.019,0.038,0.019,0.094,0.0,0.019,0.019,0.132,0.0,108.509,0
9,COL-2018-06-08,2018-06-08,COL,H,ARI,9,8,2.0,1,2,1,0,0,1,1,1,0,0,0,2,5,4,0,1,1026,0.251,38,0.079,0.0,0.053,0.0,0.105,0.0,0.026,0.026,0.211,0.0,105.789,0.257,61,0.066,0.016,0.033,0.016,0.115,0.0,0.016,0.016,0.164,0.0,107.656,0
10,PHI-2018-06-13,2018-06-13,COL,A,PHI,4,4,1.0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,1,4,400,0.27,41,0.073,0.024,0.049,0.0,0.098,0.024,0.024,0.024,0.195,0.0,108.878,0.268,70,0.071,0.029,0.029,0.014,0.114,0.014,0.014,0.014,0.157,0.0,108.471,0
11,TEX-2018-06-15,2018-06-15,COL,A,TEX,4,4,1.1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,436,0.292,45,0.067,0.022,0.044,0.022,0.089,0.022,0.022,0.022,0.222,0.0,108.089,0.28,74,0.068,0.027,0.027,0.027,0.108,0.014,0.014,0.014,0.176,0.0,108.014,0
12,TEX-2018-06-16,2018-06-16,COL,A,TEX,3,2,0.0,3,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,327,0.267,49,0.061,0.02,0.041,0.02,0.082,0.02,0.02,0.02,0.265,0.0,108.163,0.266,78,0.064,0.026,0.026,0.026,0.103,0.013,0.013,0.013,0.205,0.0,108.064,0
13,COL-2018-06-18,2018-06-18,COL,H,NYM,7,7,1.2,2,2,1,0,1,0,0,2,0,0,0,2,3,1,0,1,798,0.357,46,0.087,0.022,0.065,0.022,0.109,0.022,0.022,0.022,0.261,0.0,107.457,0.295,81,0.074,0.025,0.037,0.025,0.111,0.012,0.012,0.012,0.198,0.0,108.099,0
14,COL-2018-06-20,2018-06-20,COL,H,NYM,5,3,1.0,0,1,1,0,0,2,0,0,0,0,1,2,1,1,0,1,570,0.359,46,0.065,0.043,0.043,0.043,0.109,0.022,0.0,0.0,0.283,0.0,107.457,0.308,88,0.068,0.034,0.034,0.034,0.102,0.011,0.011,0.011,0.205,0.0,108.568,0
15,COL-2018-06-23,2018-06-23,COL,H,MIA,4,4,1.1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,456,0.414,41,0.073,0.073,0.024,0.049,0.146,0.024,0.0,0.024,0.268,0.0,106.659,0.32,93,0.065,0.043,0.032,0.032,0.118,0.011,0.011,0.022,0.194,0.0,108.86,0
16,SFG-2018-06-27,2018-06-27,COL,A,SFG,1,1,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,97,0.397,37,0.054,0.081,0.027,0.054,0.108,0.027,0.0,0.027,0.216,0.0,108.459,0.307,97,0.062,0.041,0.031,0.031,0.113,0.01,0.01,0.021,0.186,0.0,109.072,0
17,COL-2018-07-03,2018-07-03,COL,H,SFG,5,4,1.0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,0,5,570,0.468,29,0.034,0.069,0.034,0.103,0.103,0.0,0.0,0.034,0.241,0.0,106.345,0.324,98,0.061,0.041,0.031,0.041,0.112,0.01,0.01,0.02,0.184,0.0,108.949,0
