,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,PHI-2020-08-13,2020-08-13,PHI,H,BAL,8,1.1,3,3,0,0,2,1,0,2,0,0,0,2,3,2,0,99
1,PHI-2020-08-19,2020-08-19,PHI,A,BOS,4,1.0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,5
2,PHI-2020-08-20,2020-08-20,PHI,A,TOR,3,0.1,2,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
3,PHI-2020-09-13,2020-09-13,PHI,A,MIA,7,2.1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,23
4,PHI-2020-09-18,2020-09-18,PHI,H,TOR,8,1.2,0,1,1,0,0,2,0,2,0,0,0,1,3,1,0,4
5,PHI-2020-09-20,2020-09-20,PHI,H,TOR,5,1.2,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,1
6,PHI-2020-09-23,2020-09-23,PHI,A,WSN,3,1.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2
7,PHI-2020-09-25,2020-09-25,PHI,A,TBR,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
8,PHI-2020-09-26,2020-09-26,PHI,A,TBR,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,PHI-2021-04-01,2021-04-01,PHI,H,ATL,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99
1,PHI-2021-04-05,2021-04-05,PHI,H,NYM,3,1.0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,3
2,PHI-2021-04-07,2021-04-07,PHI,H,NYM,8,1.2,0,2,0,0,0,1,0,2,0,0,0,1,4,3,0,1
3,PHI-2021-04-11,2021-04-11,PHI,A,ATL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3
4,PHI-2021-04-13,2021-04-13,PHI,A,NYM,5,1.0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1
5,PHI-2021-04-16,2021-04-16,PHI,H,STL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2
6,PHI-2021-04-20,2021-04-20,PHI,H,SFG,8,0.2,6,5,1,0,2,1,0,0,0,0,0,2,5,2,0,3
7,PHI-2021-04-24,2021-04-24,PHI,A,COL,5,1.0,1,1,0,0,0,1,0,1,0,0,0,2,1,1,0,3
8,PHI-2021-04-28,2021-04-28,PHI,A,STL,3,0.2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3
9,PHI-2021-04-29,2021-04-29,PHI,A,STL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
10,PHI-2021-05-01,2021-05-01,PHI,H,NYM,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
11,PHI-2021-05-03,2021-05-03,PHI,H,MIL,4,0.1,2,1,0,0,0,2,0,0,0,1,0,1,1,0,0,1
12,PHI-2021-05-07,2021-05-07,PHI,A,ATL,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
13,PHI-2021-05-08,2021-05-08,PHI,A,ATL,5,1.0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,0
14,PHI-2021-05-11,2021-05-11,PHI,A,WSN,4,1.0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2
15,PHI-2021-05-12,2021-05-12,PHI,A,WSN,4,1.1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
16,PHI-2021-05-14,2021-05-14,PHI,A,TOR,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,PHI-2021-05-19,2021-05-19,PHI,H,MIA,3,1.0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,4
18,PHI-2021-05-21,2021-05-21,PHI,H,BOS,9,1.2,1,3,1,0,1,0,0,3,0,0,0,2,4,0,1,1
19,PHI-2021-05-26,2021-05-26,PHI,A,MIA,5,1.0,0,2,0,0,0,0,0,0,0,0,0,2,3,1,0,4
20,PHI-2021-05-30,2021-05-30,PHI,A,TBR,7,1.2,1,1,1,0,0,1,0,4,0,0,0,0,2,1,0,3
21,PHI-2021-06-04,2021-06-04,PHI,H,WSN,3,1.0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,4
22,PHI-2021-06-05,2021-06-05,PHI,H,WSN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
23,PHI-2021-06-08,2021-06-08,PHI,H,ATL,4,0.1,2,2,0,0,1,1,0,0,0,0,0,2,1,0,0,2
24,PHI-2021-06-13,2021-06-13,PHI,H,NYY,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
25,PHI-2021-06-14,2021-06-14,PHI,A,LAD,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
26,PHI-2021-06-18,2021-06-18,PHI,A,SFG,4,1.0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,3
27,PHI-2021-06-19,2021-06-19,PHI,A,SFG,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
28,PHI-2021-06-22,2021-06-22,PHI,H,WSN,6,1.1,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,2
29,PHI-2021-06-25,2021-06-25,PHI,A,NYM,3,1.0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,2
30,PHI-2021-06-26,2021-06-26,PHI,A,NYM,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,PHI-2021-06-29,2021-06-29,PHI,H,MIA,4,0.2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
32,PHI-2021-06-30,2021-06-30,PHI,H,MIA,5,1.0,1,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0
33,PHI-2021-07-05,2021-07-05,PHI,A,CHC,6,2.0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,4
34,PHI-2021-07-07,2021-07-07,PHI,A,CHC,3,0.1,1,2,1,0,0,0,0,0,0,0,0,2,1,1,0,1
35,PHI-2021-07-09,2021-07-09,PHI,A,BOS,2,0.1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
36,PHI-2021-07-10,2021-07-10,PHI,A,BOS,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0
37,PHI-2021-07-18,2021-07-18,PHI,H,MIA,8,1.2,0,2,1,0,0,1,0,0,0,0,0,2,5,2,0,7
38,PHI-2021-07-21,2021-07-21,PHI,A,NYY,7,2.0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,1,2
39,PHI-2021-07-26,2021-07-26,PHI,H,WSN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4
40,PHI-2021-07-27,2021-07-27,PHI,H,WSN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
41,PHI-2021-07-29,2021-07-29,PHI,H,WSN,9,1.2,2,3,1,0,1,1,1,2,0,0,0,3,3,0,0,1
42,PHI-2021-08-11,2021-08-11,PHI,H,LAD,5,1.0,0,1,0,0,0,1,0,0,0,0,0,1,3,1,0,12
43,PHI-2021-08-15,2021-08-15,PHI,H,CIN,7,1.2,2,2,1,0,0,0,0,2,0,0,0,1,4,3,1,3
44,PHI-2021-08-18,2021-08-18,PHI,A,ARI,4,1.1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2
45,PHI-2021-08-21,2021-08-21,PHI,A,SDP,2,0.1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2
46,PHI-2021-08-25,2021-08-25,PHI,H,TBR,4,1.0,0,1,1,0,0,0,0,2,0,0,0,0,2,0,0,3
47,PHI-2021-08-27,2021-08-27,PHI,H,ARI,5,1.2,0,0,0,0,0,0,0,1,0,1,0,1,3,1,1,1
48,PHI-2021-08-29,2021-08-29,PHI,H,ARI,6,1.0,1,2,2,0,0,1,0,1,0,0,0,2,2,1,1,1
49,PHI-2021-08-30,2021-08-30,PHI,A,WSN,6,1.1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,1,0
50,PHI-2021-09-04,2021-09-04,PHI,A,MIA,4,1.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,4
