,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,MIN-2019-07-23,2019-07-23,MIN,H,NYY,9,9,2.0,0,4,0,0,0,0,0,3,0,0,1,4,2,1,0,99,900,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
1,CHW-2019-07-27,2019-07-27,MIN,A,CHW,5,5,1.0,1,2,2,0,0,0,0,0,0,0,0,2,3,1,0,3,495,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
2,MIA-2019-08-01,2019-08-01,MIN,A,MIA,4,4,1.0,1,1,0,0,1,0,0,0,0,0,0,1,3,0,1,4,380,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
3,MIN-2019-08-03,2019-08-03,MIN,H,KCR,7,7,2.0,0,1,0,0,0,0,0,2,0,0,0,1,4,0,1,1,700,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
4,MIN-2019-08-06,2019-08-06,MIN,H,ATL,10,10,1.2,3,5,1,0,0,0,0,4,0,0,0,1,5,4,0,2,1000,0.349,26,0.192,0.077,0.0,0.038,0.0,0.0,0.0,0.038,0.192,0.0,95.192,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
5,MIN-2019-08-11,2019-08-11,MIN,H,CLE,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,200,0.383,36,0.25,0.083,0.0,0.028,0.0,0.0,0.0,0.028,0.25,0.0,96.528,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
6,MIN-2019-08-25,2019-08-25,MIN,H,DET,7,7,2.0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,1,13,700,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
7,CHW-2019-08-28,2019-08-28,MIN,A,CHW,8,8,2.0,0,3,1,0,0,0,0,1,0,0,1,3,4,2,1,2,792,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.331,45,0.222,0.067,0.0,0.022,0.0,0.0,0.0,0.022,0.222,0.0,97.222,1
8,DET-2019-08-31,2019-08-31,MIN,A,DET,14,13,3.1,2,3,1,1,1,0,0,2,1,0,0,2,9,4,0,2,1400,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.338,53,0.226,0.075,0.0,0.019,0.0,0.0,0.0,0.038,0.208,0.0,97.491,1
9,BOS-2019-09-04,2019-09-04,MIN,A,BOS,6,6,1.2,0,1,0,0,0,0,0,1,0,0,0,1,4,1,0,3,630,0.318,30,0.1,0.067,0.033,0.033,0.0,0.0,0.033,0.033,0.133,0.0,96.4,0.351,67,0.179,0.075,0.015,0.03,0.0,0.0,0.015,0.03,0.194,0.0,98.015,0
10,MIN-2019-09-06,2019-09-06,MIN,H,CLE,3,3,0.2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,300,0.289,36,0.111,0.056,0.028,0.028,0.0,0.0,0.028,0.028,0.139,0.0,97.833,0.334,73,0.178,0.068,0.014,0.027,0.0,0.0,0.014,0.027,0.192,0.0,98.589,0
