,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,KCR-2015-09-01,2015-09-01,KCR,H,DET,6,1.0,2,2,0,0,1,1,0,0,0,0,0,3,2,1,0,99
1,KCR-2015-09-03,2015-09-03,KCR,H,DET,5,1.0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1
2,KCR-2015-09-07,2015-09-07,KCR,H,MIN,4,1.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,3
3,BAL-2015-09-12,2015-09-12,KCR,A,BAL,5,1.0,0,1,0,0,0,0,0,2,1,0,0,1,1,1,0,4
4,DET-2015-09-19,2015-09-19,KCR,A,DET,5,1.0,1,1,0,0,1,1,0,2,0,0,0,1,1,1,0,6
5,KCR-2015-09-22,2015-09-22,KCR,H,SEA,9,1.2,2,1,0,0,1,3,0,3,0,0,0,1,2,1,0,2
6,KCR-2015-09-25,2015-09-25,KCR,H,CLE,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2
7,KCR-2015-09-26,2015-09-26,KCR,H,CLE,3,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8,CHC-2015-09-28,2015-09-28,KCR,A,CHC,1,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,CLE-2017-05-28,2017-05-28,KCR,A,CLE,8,1.0,3,4,2,0,0,1,0,0,0,1,0,2,5,2,0,99
1,KCR-2017-07-01,2017-07-01,KCR,H,MIN,4,1.0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,33
0,SEA-2018-07-05,2018-07-05,LAA,A,SEA,5,1.0,2,2,0,1,1,0,0,1,0,0,0,1,3,1,0,99
1,HOU-2018-09-02,2018-09-02,LAA,A,HOU,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,58
2,TEX-2018-09-05,2018-09-05,LAA,A,TEX,6,1.0,1,2,0,0,0,0,0,0,1,0,0,4,1,1,0,2
3,LAA-2018-09-12,2018-09-12,LAA,H,TEX,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6
4,LAA-2018-09-14,2018-09-14,LAA,H,SEA,4,1.0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1
5,OAK-2018-09-20,2018-09-20,LAA,A,OAK,5,0.0,5,3,2,0,0,2,0,0,0,0,0,0,3,2,0,5
6,HOU-2018-09-23,2018-09-23,LAA,A,HOU,4,1.0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,2
7,LAA-2018-09-29,2018-09-29,LAA,H,OAK,4,1.0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,5
