,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf
0,MIN-2017-09-12,2017-09-12,MIN,H,SDP,4,3,1.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,99,404,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MIN-2017-09-16,2017-09-16,MIN,H,TOR,5,4,1.0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,3,505,0.173,5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,80.8,0.173,5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,80.8
2,NYY-2017-09-19,2017-09-19,MIN,A,NYY,4,4,1.0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,2,400,0.374,10,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,90.9,0.377,10,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,90.9
3,DET-2017-09-23,2017-09-23,MIN,A,DET,4,4,1.0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,3,404,0.326,14,0.071,0.0,0.0,0.071,0.143,0.0,0.0,0.0,0.143,0.0,93.5,0.329,14,0.071,0.0,0.0,0.071,0.143,0.0,0.0,0.0,0.143,0.0,93.5
4,CLE-2017-09-26,2017-09-26,MIN,A,CLE,2,2,0.1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,208,0.366,18,0.056,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.111,0.0,95.167,0.37,18,0.056,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.111,0.0,95.167
5,CLE-2017-09-27,2017-09-27,MIN,A,CLE,2,2,0.1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,208,0.374,20,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,96.05,0.377,20,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,96.05
6,MIN-2017-10-01,2017-10-01,MIN,H,DET,5,5,1.2,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,3,505,0.38,22,0.136,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.136,0.0,96.773,0.383,22,0.136,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.136,0.0,96.773
7,BAL-2018-03-31,2018-03-31,MIN,A,BAL,6,5,1.0,2,2,1,0,1,1,0,2,0,0,0,1,2,0,0,99,600,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,27,0.111,0.0,0.0,0.074,0.074,0.0,0.0,0.0,0.185,0.0,97.556
8,MIN-2018-04-07,2018-04-07,MIN,H,SEA,5,4,1.1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,2,6,505,0.661,7,0.0,0.143,0.0,0.143,0.143,0.0,0.0,0.0,0.286,0.0,85.714,0.371,33,0.091,0.03,0.0,0.091,0.091,0.0,0.0,0.0,0.212,0.0,98.0
9,MIN-2018-04-12,2018-04-12,MIN,H,CHW,4,4,1.0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,4,404,0.423,12,0.0,0.083,0.0,0.083,0.167,0.0,0.0,0.0,0.25,0.0,92.083,0.34,38,0.079,0.026,0.0,0.079,0.105,0.0,0.0,0.0,0.211,0.0,98.395
10,MIN-2018-04-17,2018-04-17,MIN,H,CLE,4,4,1.0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,0,4,404,0.311,16,0.0,0.062,0.0,0.062,0.125,0.0,0.0,0.0,0.25,0.0,94.312,0.307,42,0.071,0.024,0.0,0.071,0.095,0.0,0.0,0.0,0.214,0.0,98.643
11,TBR-2018-04-21,2018-04-21,MIN,A,TBR,5,5,0.2,3,3,0,0,1,0,0,0,0,0,0,3,2,0,0,3,480,0.209,14,0.0,0.0,0.0,0.071,0.071,0.0,0.0,0.0,0.286,0.0,93.786,0.323,46,0.065,0.022,0.0,0.087,0.087,0.0,0.0,0.0,0.239,0.0,98.848
12,MIL-2018-07-03,2018-07-03,MIN,A,MIL,6,6,2.0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,72,600,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,51,0.098,0.02,0.0,0.098,0.078,0.0,0.0,0.0,0.216,0.0,98.569
13,BOS-2018-07-28,2018-07-28,MIN,A,BOS,4,3,0.1,1,2,1,0,0,1,0,1,0,0,0,0,2,1,0,24,416,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,57,0.088,0.018,0.0,0.088,0.07,0.0,0.0,0.0,0.263,0.0,98.719
14,BOS-2018-07-29,2018-07-29,MIN,A,BOS,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,104,0.704,5,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,83.2,0.352,61,0.098,0.033,0.0,0.082,0.082,0.0,0.0,0.0,0.262,0.0,99.066
15,MIN-2018-07-30,2018-07-30,MIN,H,CLE,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,202,0.563,6,0.167,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,86.667,0.346,62,0.097,0.032,0.0,0.081,0.081,0.0,0.0,0.0,0.258,0.0,99.145
16,MIN-2018-08-01,2018-08-01,MIN,H,CLE,4,4,1.0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,1,404,0.402,8,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,90.25,0.335,64,0.094,0.031,0.0,0.078,0.078,0.0,0.0,0.0,0.25,0.0,99.203
17,MIN-2018-08-03,2018-08-03,MIN,H,KCR,8,7,1.2,2,4,0,0,0,0,0,0,0,1,1,3,5,4,0,1,808,0.336,12,0.167,0.083,0.0,0.0,0.083,0.0,0.0,0.0,0.25,0.0,93.833,0.328,68,0.103,0.029,0.0,0.074,0.074,0.0,0.0,0.0,0.265,0.0,99.309
18,MIN-2018-08-05,2018-08-05,MIN,H,KCR,5,5,1.2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,1,505,0.38,20,0.3,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.15,0.05,96.7,0.34,76,0.145,0.026,0.0,0.066,0.066,0.0,0.0,0.013,0.237,0.013,99.487
19,CLE-2018-08-07,2018-08-07,MIN,A,CLE,5,4,1.0,0,1,0,0,0,1,0,0,0,0,0,1,3,1,0,1,515,0.301,25,0.24,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.2,0.04,97.56,0.318,81,0.136,0.025,0.0,0.062,0.062,0.0,0.0,0.012,0.247,0.012,99.58
20,CLE-2018-08-09,2018-08-09,MIN,A,CLE,9,8,2.2,0,0,0,0,0,1,0,1,0,0,0,4,3,1,2,1,927,0.303,30,0.233,0.033,0.0,0.0,0.067,0.0,0.0,0.033,0.167,0.033,98.467,0.318,86,0.14,0.023,0.0,0.058,0.07,0.0,0.0,0.012,0.233,0.012,99.779
21,DET-2018-08-12,2018-08-12,MIN,A,DET,4,4,1.0,0,1,1,0,0,0,0,1,0,0,0,0,3,2,0,2,408,0.249,39,0.179,0.026,0.0,0.0,0.077,0.0,0.0,0.026,0.154,0.026,99.513,0.295,95,0.126,0.021,0.0,0.053,0.074,0.0,0.0,0.011,0.221,0.011,100.084
22,MIN-2018-08-15,2018-08-15,MIN,H,PIT,7,7,1.1,0,3,0,0,0,0,0,0,0,0,0,1,6,1,1,2,707,0.255,43,0.163,0.047,0.0,0.0,0.07,0.0,0.0,0.023,0.163,0.023,99.744,0.296,99,0.121,0.03,0.0,0.051,0.071,0.0,0.0,0.01,0.222,0.01,100.162
23,MIN-2018-08-17,2018-08-17,MIN,H,DET,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,303,0.273,50,0.2,0.04,0.0,0.0,0.06,0.0,0.0,0.02,0.14,0.02,99.92,0.301,106,0.142,0.028,0.0,0.047,0.066,0.0,0.0,0.009,0.208,0.009,100.217
