,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,OAK-2014-03-31,2014-03-31,OAK,H,CLE,2,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,99
1,OAK-2014-04-03,2014-04-03,OAK,H,SEA,7,2.0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,2
2,MIN-2014-04-07,2014-04-07,OAK,A,MIN,4,1.0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,3
3,MIN-2014-04-10,2014-04-10,OAK,A,MIN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2
4,SEA-2014-04-13,2014-04-13,OAK,A,SEA,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
5,LAA-2014-04-16,2014-04-16,OAK,A,LAA,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,OAK-2014-04-18,2014-04-18,OAK,H,HOU,7,2.0,0,1,0,0,0,0,0,2,0,0,0,3,2,1,0,1
7,OAK-2014-04-21,2014-04-21,OAK,H,TEX,4,1.0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,2
8,OAK-2014-04-22,2014-04-22,OAK,H,TEX,2,0.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9,HOU-2014-04-25,2014-04-25,OAK,A,HOU,4,1.0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2
10,TEX-2014-04-29,2014-04-29,OAK,A,TEX,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3
11,BOS-2014-05-02,2014-05-02,OAK,A,BOS,3,0.2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2
12,BOS-2014-05-04,2014-05-04,OAK,A,BOS,3,0.2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
13,OAK-2014-05-05,2014-05-05,OAK,H,SEA,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
14,OAK-2014-05-07,2014-05-07,OAK,H,SEA,5,1.1,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1
15,OAK-2014-05-12,2014-05-12,OAK,H,CHW,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
16,OAK-2014-05-13,2014-05-13,OAK,H,CHW,3,1.0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
17,OAK-2014-05-14,2014-05-14,OAK,H,CHW,3,0.1,2,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0
18,CLE-2014-05-17,2014-05-17,OAK,A,CLE,5,1.0,1,2,0,0,0,0,0,0,0,1,0,2,3,2,0,2
19,CLE-2014-05-18,2014-05-18,OAK,A,CLE,4,1.1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0
20,TBR-2014-05-21,2014-05-21,OAK,A,TBR,2,0.2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2
21,TBR-2014-05-22,2014-05-22,OAK,A,TBR,2,0.1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
22,TOR-2014-05-25,2014-05-25,OAK,A,TOR,5,1.0,0,2,0,0,0,0,0,1,0,0,0,0,4,1,0,2
23,OAK-2014-05-27,2014-05-27,OAK,H,DET,3,0.1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
24,OAK-2014-05-29,2014-05-29,OAK,H,DET,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1
25,OAK-2014-05-31,2014-05-31,OAK,H,LAA,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
26,NYY-2014-06-03,2014-06-03,OAK,A,NYY,3,0.2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2
27,NYY-2014-06-04,2014-06-04,OAK,A,NYY,3,0.1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0
