,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,PIT-2016-05-01,2016-05-01,CIN,A,PIT,22,6.0,2,3,0,0,1,2,0,6,0,0,0,4,10,3,1,99
1,CIN-2016-05-06,2016-05-06,CIN,H,MIL,23,5.0,1,4,0,0,1,3,1,4,1,0,0,10,5,1,2,4
2,PHI-2016-05-14,2016-05-14,CIN,A,PHI,22,5.0,3,8,2,0,0,2,0,3,0,0,2,10,7,4,1,7
3,CIN-2016-05-19,2016-05-19,CIN,H,CLE,16,3.1,2,3,0,0,1,2,0,3,0,0,0,6,5,0,1,4
4,CIN-2016-08-19,2016-08-19,CIN,H,LAD,23,5.0,0,5,1,1,0,2,0,3,2,0,1,1,15,6,1,91
5,CIN-2016-08-24,2016-08-24,CIN,H,TEX,20,5.0,4,5,0,0,3,0,0,1,0,0,1,5,14,10,2,4
6,LAA-2016-08-30,2016-08-30,CIN,A,LAA,25,6.0,3,7,1,0,2,1,0,4,0,0,1,9,11,3,0,5
7,CIN-2016-09-04,2016-09-04,CIN,H,STL,20,5.0,3,4,1,0,2,1,0,6,0,0,0,3,10,7,1,4
8,PIT-2016-09-09,2016-09-09,CIN,A,PIT,24,6.0,2,7,3,0,0,2,0,0,1,0,2,11,10,4,1,4
9,CIN-2016-09-14,2016-09-14,CIN,H,MIL,21,5.0,4,3,0,0,1,3,0,4,0,0,0,9,5,2,1,4
10,CHC-2016-09-19,2016-09-19,CIN,A,CHC,25,6.1,2,5,1,0,2,0,0,5,1,0,0,5,14,5,1,4
11,STL-2016-09-26,2016-09-26,CIN,A,STL,24,7.0,2,4,1,1,0,0,0,4,0,1,1,8,12,2,1,6
12,CIN-2016-10-01,2016-10-01,CIN,H,CHC,22,5.0,3,6,1,0,0,2,0,4,0,0,0,4,12,4,1,4
0,CIN-2017-04-16,2017-04-16,CIN,H,MIL,14,4.0,1,2,0,0,1,0,0,5,0,0,0,2,7,2,0,99
1,CIN-2017-04-21,2017-04-21,CIN,H,CHC,24,6.0,2,4,1,0,2,2,0,7,1,0,0,5,9,2,2,4
