,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,STL-2015-04-30,2015-04-30,STL,H,PHI,15,2.1,3,7,1,0,1,1,0,3,0,0,0,6,5,2,0,99
1,STL-2015-07-02,2015-07-02,STL,H,SDP,23,6.0,2,4,0,0,2,2,1,6,0,0,0,5,10,5,1,62
2,STL-2015-07-07,2015-07-07,STL,A,CHC,21,5.1,1,3,2,0,0,1,0,3,1,0,0,5,11,4,0,4
3,STL-2015-07-12,2015-07-12,STL,A,PIT,22,5.0,3,6,1,1,0,2,1,5,0,0,0,6,9,5,0,4
4,STL-2015-07-19,2015-07-19,STL,H,NYM,24,5.2,0,3,2,0,0,4,0,7,0,0,0,4,9,5,0,6
5,STL-2015-07-24,2015-07-24,STL,H,ATL,25,7.0,2,5,1,0,0,0,0,5,0,0,1,10,10,4,2,4
