,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,MIL-2014-03-31,2014-03-31,ATL,A,MIL,24,6.0,2,7,1,0,0,1,0,2,0,0,0,10,11,5,1,99
1,WSN-2014-04-05,2014-04-05,ATL,A,WSN,28,7.0,2,3,0,0,1,4,0,6,1,0,0,4,13,4,3,4
2,ATL-2014-04-11,2014-04-11,ATL,H,WSN,28,6.0,2,10,1,0,1,1,0,1,0,0,2,11,15,6,1,5
3,PHI-2014-04-16,2014-04-16,ATL,A,PHI,30,9.0,0,3,0,0,0,0,0,4,0,0,0,11,15,5,3,4
4,ATL-2014-04-21,2014-04-21,ATL,H,MIA,26,7.0,1,5,0,0,1,1,0,8,0,0,0,9,8,3,1,4
5,ATL-2014-04-27,2014-04-27,ATL,H,CIN,28,8.0,0,3,2,0,0,2,0,5,0,0,0,10,11,4,1,5
6,ATL-2014-05-03,2014-05-03,ATL,H,SFG,25,7.0,3,4,0,0,3,0,0,7,0,0,0,7,11,3,2,5
7,ATL-2014-05-09,2014-05-09,ATL,H,CHC,26,8.0,1,1,0,0,1,2,0,9,0,0,0,5,10,2,1,5
8,SFG-2014-05-14,2014-05-14,ATL,A,SFG,22,3.1,4,7,0,0,1,5,0,4,0,0,0,6,7,3,0,4
9,ATL-2014-05-20,2014-05-20,ATL,H,MIL,37,9.0,0,6,2,0,0,2,0,8,1,0,0,10,16,3,8,5
10,ATL-2014-05-25,2014-05-25,ATL,H,COL,24,6.0,0,4,0,0,0,1,0,7,0,0,0,5,11,5,1,4
11,MIA-2014-05-30,2014-05-30,ATL,A,MIA,27,7.1,2,5,0,0,1,1,0,5,0,0,1,10,11,3,1,4
12,ARI-2014-06-06,2014-06-06,ATL,A,ARI,27,7.0,2,5,1,0,1,1,0,7,0,0,0,7,12,2,3,6
13,COL-2014-06-11,2014-06-11,ATL,A,COL,28,6.1,7,10,3,1,0,0,0,5,1,1,0,6,16,9,1,4
14,ATL-2014-06-16,2014-06-16,ATL,H,PHI,28,8.0,1,4,0,0,1,0,0,6,0,0,0,11,11,2,3,4
