,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,NYM-2018-07-14,2018-07-14,WSN,A,NYM,25,21,4.1,7,9,0,0,1,3,0,3,0,1,0,10,9,4,0,99,2375,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
1,ATL-2018-09-14,2018-09-14,WSN,A,ATL,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,61,306,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
2,WSN-2018-09-22,2018-09-22,WSN,H,NYM,18,16,5.0,0,1,0,0,0,2,0,5,0,0,0,5,6,3,2,7,1836,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.318,685,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,1
3,COL-2018-09-30,2018-09-30,WSN,A,COL,9,7,2.0,2,2,0,0,2,1,0,3,0,0,0,1,4,1,0,7,1026,0.108,22,0.045,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.227,0.0,97.364,0.29,47,0.191,0.0,0.0,0.021,0.106,0.0,0.0,0.0,0.17,0.021,96.106,0
4,WSN-2019-06-23,2019-06-23,WSN,H,ATL,23,22,6.0,2,4,1,0,2,0,0,7,1,0,0,6,9,0,1,99,2323,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.336,56,0.161,0.0,0.0,0.054,0.107,0.0,0.0,0.0,0.196,0.018,98.982,1
5,DET-2019-06-29,2019-06-29,WSN,A,DET,20,18,4.1,3,6,1,0,0,2,0,3,0,0,0,8,7,3,0,5,2000,0.291,24,0.042,0.042,0.0,0.083,0.0,0.0,0.042,0.0,0.292,0.0,96.792,0.325,79,0.127,0.013,0.0,0.063,0.076,0.0,0.013,0.0,0.228,0.013,99.57,0
6,WSN-2019-07-05,2019-07-05,WSN,H,KCR,21,18,4.1,4,5,1,1,0,3,0,6,0,0,0,4,8,4,4,5,2121,0.317,44,0.136,0.045,0.0,0.045,0.045,0.0,0.023,0.0,0.227,0.0,98.25,0.331,99,0.152,0.02,0.0,0.051,0.081,0.0,0.01,0.0,0.212,0.01,99.657,0
7,BAL-2019-07-16,2019-07-16,WSN,A,BAL,24,21,6.0,1,4,1,0,1,1,0,4,2,0,0,8,9,2,3,10,2448,0.351,42,0.19,0.048,0.024,0.0,0.119,0.0,0.0,0.0,0.214,0.0,98.119,0.306,95,0.105,0.032,0.011,0.042,0.084,0.0,0.011,0.0,0.253,0.0,101.179,0
8,WSN-2019-09-02,2019-09-02,WSN,H,NYM,9,9,2.1,0,2,1,0,0,0,0,4,0,0,0,3,2,1,0,47,909,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.305,119,0.101,0.034,0.008,0.042,0.076,0.0,0.025,0.0,0.235,0.0,101.345,1
9,ATL-2019-09-07,2019-09-07,WSN,A,ATL,16,14,4.0,2,3,0,0,2,2,0,6,0,0,0,2,6,1,1,4,1632,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.3,128,0.102,0.039,0.008,0.039,0.07,0.0,0.023,0.0,0.25,0.0,101.32,1
