,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,COL-2017-05-28,2017-05-28,STL,A,COL,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,99
1,STL-2017-05-30,2017-05-30,STL,H,LAD,6,1.2,0,0,0,0,0,1,0,1,0,0,0,1,3,1,1,1
2,CIN-2017-06-05,2017-06-05,STL,A,CIN,4,1.0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,5
3,CIN-2017-06-06,2017-06-06,STL,A,CIN,5,1.0,2,1,0,0,1,1,0,1,0,0,0,1,2,1,1,0
4,CIN-2017-06-08,2017-06-08,STL,A,CIN,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,STL-2017-06-13,2017-06-13,STL,H,MIL,3,1.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4
6,STL-2017-06-13,2017-06-13,STL,H,MIL,3,0.2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,-1
7,STL-2017-06-15,2017-06-15,STL,H,MIL,6,2.0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,1
8,BAL-2017-06-17,2017-06-17,STL,A,BAL,10,2.0,2,3,1,0,1,0,0,1,1,0,0,2,6,3,0,1
9,PHI-2017-06-21,2017-06-21,STL,A,PHI,5,1.1,0,1,0,0,0,0,0,1,0,0,0,2,2,1,0,3
10,STL-2017-06-24,2017-06-24,STL,H,PIT,6,1.1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,2
11,STL-2017-06-26,2017-06-26,STL,H,CIN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
12,STL-2017-07-02,2017-07-02,STL,H,WSN,5,1.0,0,1,1,0,0,1,1,1,0,0,0,1,2,1,0,5
13,STL-2017-07-04,2017-07-04,STL,H,MIA,5,1.0,0,2,0,0,0,0,0,1,0,0,0,1,3,2,0,1
14,STL-2017-07-05,2017-07-05,STL,H,MIA,2,0.1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
15,STL-2017-07-07,2017-07-07,STL,H,NYM,6,1.1,0,2,1,0,0,0,0,2,0,0,0,1,3,2,0,1
16,STL-2017-07-09,2017-07-09,STL,H,NYM,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
17,NYM-2017-07-19,2017-07-19,STL,A,NYM,10,3.0,0,1,1,0,0,0,0,3,0,0,0,0,7,2,2,9
18,STL-2017-07-24,2017-07-24,STL,H,COL,2,0.1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,4
19,STL-2017-07-26,2017-07-26,STL,H,COL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
20,STL-2017-07-27,2017-07-27,STL,H,ARI,4,1.0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,0
21,STL-2017-07-29,2017-07-29,STL,H,ARI,4,1.0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,0,1
22,MIL-2017-08-01,2017-08-01,STL,A,MIL,4,1.0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2
23,MIL-2017-08-02,2017-08-02,STL,A,MIL,4,0.2,2,2,1,0,1,0,0,1,0,0,0,0,3,2,0,0
24,CIN-2017-08-06,2017-08-06,STL,A,CIN,7,2.0,1,1,0,0,1,0,0,2,0,0,0,2,3,1,0,3
25,KCR-2017-08-08,2017-08-08,STL,A,KCR,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
26,STL-2017-08-11,2017-08-11,STL,H,ATL,4,1.0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2
27,STL-2017-08-13,2017-08-13,STL,H,ATL,5,1.0,1,2,0,1,0,0,0,1,0,0,0,2,2,1,0,1
28,BOS-2017-08-15,2017-08-15,STL,A,BOS,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
29,BOS-2017-08-16,2017-08-16,STL,A,BOS,2,0.1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
30,PIT-2017-08-19,2017-08-19,STL,A,PIT,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2
31,PIT-2017-08-20,2017-08-20,STL,A,PIT,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32,STL-2017-08-23,2017-08-23,STL,H,SDP,4,1.0,1,1,0,0,1,0,0,0,0,0,0,0,4,1,1,2
33,STL-2017-08-26,2017-08-26,STL,H,TBR,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2
34,STL-2017-08-27,2017-08-27,STL,H,TBR,7,1.1,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0
35,SFG-2017-08-31,2017-08-31,STL,A,SFG,3,0.1,1,2,2,0,0,0,0,0,0,0,0,0,3,2,0,3
36,SFG-2017-09-03,2017-09-03,STL,A,SFG,4,1.0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,2
37,SDP-2017-09-06,2017-09-06,STL,A,SDP,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2
38,STL-2017-09-08,2017-09-08,STL,H,PIT,5,1.0,1,1,0,0,0,1,0,2,0,0,0,1,1,1,0,1
39,STL-2017-09-09,2017-09-09,STL,H,PIT,4,1.0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0
40,STL-2017-09-14,2017-09-14,STL,H,CIN,4,1.0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,1,4
41,CHC-2017-09-16,2017-09-16,STL,A,CHC,6,1.0,0,2,1,0,0,1,1,2,0,0,0,1,2,2,0,1
42,CHC-2017-09-17,2017-09-17,STL,A,CHC,4,1.0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0
43,CIN-2017-09-19,2017-09-19,STL,A,CIN,2,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
44,PIT-2017-09-22,2017-09-22,STL,A,PIT,4,1.0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2
45,PIT-2017-09-24,2017-09-24,STL,A,PIT,4,1.0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1
46,STL-2017-09-26,2017-09-26,STL,H,CHC,4,0.2,2,2,0,0,2,0,0,1,0,0,0,1,2,1,0,1
47,STL-2017-09-28,2017-09-28,STL,H,CHC,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
48,STL-2017-09-30,2017-09-30,STL,H,MIL,5,1.0,0,2,0,0,0,0,0,2,0,0,0,0,3,2,0,1
49,STL-2017-10-01,2017-10-01,STL,H,MIL,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
