,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,DET-2017-09-04,2017-09-04,DET,H,KCR,26,25,5.0,5,11,1,0,1,1,0,1,0,0,1,9,15,6,1,99,2626,0.325,76,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,0.325,686,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,1
1,TOR-2017-09-10,2017-09-10,DET,A,TOR,9,9,2.0,0,3,0,0,0,0,0,3,0,0,0,3,3,1,0,5,900,0.454,27,0.333,0.037,0.0,0.037,0.037,0.0,0.0,0.037,0.037,0.0,97.259,0.325,686,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,1
2,DET-2017-09-18,2017-09-18,DET,H,OAK,12,9,2.1,2,3,0,0,0,3,0,1,0,0,1,4,4,1,0,7,1212,0.412,36,0.333,0.028,0.0,0.028,0.028,0.0,0.0,0.028,0.111,0.0,97.944,0.325,686,0.145,0.045,0.004,0.033,0.085,0.005,0.009,0.02,0.216,0.006,100.0,1
3,DET-2017-09-23,2017-09-23,DET,H,MIN,5,5,1.0,0,2,0,0,0,0,0,1,0,0,0,1,3,3,0,4,505,0.407,48,0.312,0.021,0.0,0.021,0.083,0.0,0.0,0.042,0.104,0.0,98.708,0.408,48,0.312,0.021,0.0,0.021,0.083,0.0,0.0,0.042,0.104,0.0,98.708,0
4,PIT-2018-04-25,2018-04-25,DET,A,PIT,8,7,1.0,2,4,1,0,0,1,0,0,0,0,0,2,5,2,1,99,792,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.402,53,0.321,0.019,0.0,0.019,0.075,0.0,0.0,0.038,0.113,0.0,98.925,1
5,DET-2018-05-16,2018-05-16,DET,H,CLE,16,15,4.0,0,3,0,0,0,1,0,4,0,0,0,3,8,5,1,20,1632,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.424,61,0.328,0.033,0.0,0.016,0.082,0.0,0.0,0.033,0.098,0.0,98.934,1
6,SEA-2018-05-19,2018-05-19,DET,A,SEA,15,12,3.0,3,4,2,0,0,2,0,3,0,1,0,3,7,5,0,2,1440,0.318,76,0.142,0.045,0.004,0.03,0.085,0.005,0.011,0.019,0.223,0.007,100.0,0.379,77,0.299,0.026,0.0,0.013,0.078,0.0,0.0,0.026,0.13,0.0,99.571,1
7,DET-2018-05-26,2018-05-26,DET,H,CHW,13,13,3.0,1,4,1,0,0,0,0,3,0,0,0,5,5,0,1,6,1326,0.289,32,0.156,0.062,0.0,0.0,0.094,0.0,0.0,0.0,0.219,0.031,96.0,0.378,92,0.272,0.043,0.0,0.011,0.087,0.0,0.0,0.022,0.141,0.011,98.989,0
8,DET-2018-05-29,2018-05-29,DET,H,LAA,13,12,3.2,0,3,0,0,0,1,0,2,0,0,1,4,6,3,1,2,1326,0.292,45,0.178,0.067,0.0,0.0,0.067,0.0,0.0,0.0,0.222,0.022,97.733,0.368,105,0.267,0.048,0.0,0.01,0.076,0.0,0.0,0.019,0.152,0.01,99.362,0
9,DET-2018-06-01,2018-06-01,DET,H,TOR,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,102,0.284,58,0.19,0.052,0.0,0.0,0.069,0.0,0.0,0.017,0.207,0.017,98.69,0.355,118,0.263,0.042,0.0,0.008,0.076,0.0,0.0,0.025,0.153,0.008,99.653,0
