,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,CIN-2021-05-02,2021-05-02,CHC,A,CIN,5,4,1.0,0,2,0,0,0,1,0,0,0,0,1,3,1,1,0,99,530,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,1
1,CHC-2021-05-04,2021-05-04,CHC,H,LAD,13,11,3.2,0,2,1,0,0,2,0,2,0,0,2,6,3,1,1,1,1287,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,1
2,CHC-2021-05-08,2021-05-08,CHC,H,PIT,12,10,3.0,0,2,0,0,0,1,0,0,0,0,0,8,3,1,0,3,1188,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,1
3,CLE-2021-05-12,2021-05-12,CHC,A,CLE,5,2,0.2,0,1,0,0,0,2,1,0,0,0,0,1,2,1,1,3,500,0.29,31,0.161,0.032,0.0,0.0,0.129,0.0,0.0,0.097,0.065,0.0,96.935,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,1
4,DET-2021-05-15,2021-05-15,CHC,A,DET,7,7,2.0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,0,2,693,0.333,36,0.167,0.028,0.0,0.0,0.167,0.028,0.0,0.083,0.056,0.0,97.361,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,100.0,1
5,CHC-2021-05-18,2021-05-18,CHC,H,WSN,6,5,1.1,0,1,1,0,0,1,0,3,0,0,0,1,1,1,0,2,594,0.296,43,0.163,0.023,0.0,0.0,0.14,0.023,0.0,0.07,0.163,0.0,97.628,0.298,43,0.163,0.023,0.0,0.0,0.14,0.023,0.0,0.07,0.163,0.0,97.628,0
6,STL-2021-05-22,2021-05-22,CHC,A,STL,4,4,1.0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,3,384,0.3,49,0.143,0.041,0.0,0.0,0.143,0.02,0.0,0.061,0.204,0.0,97.796,0.301,49,0.143,0.041,0.0,0.0,0.143,0.02,0.0,0.061,0.204,0.0,97.796,0
7,PIT-2021-05-25,2021-05-25,CHC,A,PIT,6,4,1.2,0,0,0,0,0,2,0,2,0,0,1,2,0,0,0,2,600,0.271,35,0.143,0.029,0.0,0.0,0.114,0.029,0.0,0.0,0.257,0.0,95.971,0.295,53,0.151,0.038,0.0,0.0,0.132,0.019,0.0,0.057,0.208,0.0,97.66,0
8,CHC-2021-05-29,2021-05-29,CHC,H,CIN,3,3,0.2,0,1,1,0,0,0,0,1,0,0,0,0,2,1,1,3,297,0.282,29,0.103,0.034,0.0,0.0,0.172,0.034,0.0,0.034,0.379,0.0,95.552,0.288,59,0.136,0.034,0.0,0.0,0.153,0.017,0.0,0.068,0.22,0.0,97.898,0
9,CHC-2021-05-31,2021-05-31,CHC,H,SDP,10,10,2.1,1,3,0,0,1,0,0,3,0,0,0,3,4,1,1,1,990,0.296,32,0.094,0.062,0.0,0.0,0.156,0.031,0.0,0.031,0.375,0.0,95.875,0.294,62,0.129,0.048,0.0,0.0,0.145,0.016,0.0,0.065,0.226,0.0,97.952,0
