,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf
0,DET-2014-03-31,2014-03-31,DET,H,KCR,28,25,6.0,2,6,3,0,0,3,0,2,0,0,1,12,11,2,3,99,2828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DET-2014-04-06,2014-04-06,DET,H,BAL,31,28,8.0,2,5,2,1,0,2,0,3,0,1,0,7,19,7,4,5,3131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SDP-2014-04-12,2014-04-12,DET,A,SDP,30,28,7.0,2,8,2,0,0,1,0,8,0,1,0,10,11,6,0,5,2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DET-2014-04-17,2014-04-17,DET,H,CLE,24,20,5.0,0,6,0,0,0,4,0,7,0,0,2,8,5,2,0,4,2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DET-2014-04-22,2014-04-22,DET,H,CHW,29,27,7.0,2,8,1,0,1,2,0,7,0,0,2,9,11,2,3,4,2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CHW-2014-04-29,2014-04-29,DET,A,CHW,28,25,7.0,3,6,2,1,0,3,0,4,0,0,1,9,12,4,3,6,2828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,KCR-2014-05-04,2014-05-04,DET,A,KCR,29,24,7.0,3,4,1,1,0,4,0,7,0,1,0,4,14,7,3,4,2987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DET-2014-05-09,2014-05-09,DET,H,MIN,30,28,7.0,2,7,0,0,0,2,0,5,0,0,0,15,8,2,2,4,3030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BAL-2014-05-14,2014-05-14,DET,A,BAL,27,24,6.0,5,6,0,0,1,3,0,4,0,0,0,12,8,2,2,4,2754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CLE-2014-05-20,2014-05-20,DET,A,CLE,30,27,6.0,5,11,5,0,0,3,0,2,0,0,1,7,18,9,3,5,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DET-2014-05-25,2014-05-25,DET,H,TEX,31,27,5.1,6,11,3,1,1,3,0,1,0,0,0,11,16,5,1,4,3131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,SEA-2014-05-30,2014-05-30,DET,A,SEA,29,27,7.2,3,5,2,0,1,1,0,7,1,0,0,9,11,4,3,4,2784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,DET-2014-06-05,2014-06-05,DET,H,TOR,32,28,7.0,5,8,0,0,2,4,0,4,0,0,2,6,18,5,3,5,3232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CHW-2014-06-11,2014-06-11,DET,A,CHW,29,24,5.2,7,8,0,1,1,4,0,6,1,0,1,11,7,2,2,5,2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,DET-2014-06-16,2014-06-16,DET,H,KCR,30,26,6.0,7,12,3,0,1,2,0,2,1,0,1,15,10,3,0,4,3030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
