,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
46,DET-2014-07-18,2014-07-18,CLE,A,DET,5,1.0,0,2,1,0,0,0,0,1,0,0,0,0,4,1,0,4
47,DET-2014-07-19,2014-07-19,CLE,A,DET,4,1.0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0
48,MIN-2014-07-22,2014-07-22,CLE,A,MIN,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
49,KCR-2014-07-26,2014-07-26,CLE,A,KCR,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3
50,CLE-2014-07-31,2014-07-31,CLE,H,SEA,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4
51,CLE-2014-08-02,2014-08-02,CLE,H,TEX,5,1.0,0,1,0,0,0,1,0,2,0,0,0,0,2,1,1,1
52,CLE-2014-08-03,2014-08-03,CLE,H,TEX,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
53,NYY-2014-08-08,2014-08-08,CLE,A,NYY,2,0.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
54,NYY-2014-08-09,2014-08-09,CLE,A,NYY,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
55,NYY-2014-08-10,2014-08-10,CLE,A,NYY,4,1.0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0
56,CLE-2014-08-13,2014-08-13,CLE,H,ARI,4,1.0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,2
57,CLE-2014-08-15,2014-08-15,CLE,H,BAL,5,1.1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1
58,MIN-2014-08-19,2014-08-19,CLE,A,MIN,4,1.0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,3
59,CLE-2014-08-22,2014-08-22,CLE,H,HOU,7,1.0,0,1,0,0,1,2,0,0,0,0,0,3,2,1,0,2
60,CLE-2014-08-23,2014-08-23,CLE,H,HOU,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
61,CLE-2014-08-24,2014-08-24,CLE,H,HOU,6,1.0,0,2,0,0,0,1,0,2,0,0,0,2,1,0,0,0
62,CHW-2014-08-28,2014-08-28,CLE,A,CHW,5,1.1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,3
63,KCR-2014-08-30,2014-08-30,CLE,A,KCR,5,1.0,0,1,0,0,0,1,0,2,0,0,0,0,2,1,1,1
64,KCR-2014-08-31,2014-08-31,CLE,A,KCR,4,1.0,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0
65,CLE-2014-09-02,2014-09-02,CLE,H,DET,4,0.1,3,2,0,0,1,1,0,0,0,0,0,1,2,1,0,1
66,CLE-2014-09-04,2014-09-04,CLE,H,DET,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
67,CLE-2014-09-05,2014-09-05,CLE,H,CHW,5,1.0,0,1,1,0,0,1,1,2,0,0,0,0,2,1,0,0
68,CLE-2014-09-07,2014-09-07,CLE,H,CHW,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
69,CLE-2014-09-11,2014-09-11,CLE,H,MIN,3,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3
70,DET-2014-09-14,2014-09-14,CLE,A,DET,3,0.2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2
