,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,STL-2018-06-07,2018-06-07,MIA,A,STL,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,99
1,MIA-2018-06-14,2018-06-14,MIA,H,SFG,6,2.0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,0,6
2,MIA-2018-06-26,2018-06-26,MIA,H,ARI,18,4.0,2,2,1,0,0,3,1,2,0,1,0,7,6,3,0,11
3,MIA-2018-06-29,2018-06-29,MIA,H,NYM,6,1.0,1,2,0,0,0,2,0,1,0,0,1,1,2,2,0,2
4,WSN-2018-07-07,2018-07-07,MIA,A,WSN,6,1.1,1,2,0,0,0,0,0,0,0,0,0,1,5,1,1,7
5,MIA-2018-07-10,2018-07-10,MIA,H,MIL,6,1.0,2,2,2,0,0,0,0,2,1,0,0,1,2,1,0,2
6,MIA-2018-07-15,2018-07-15,MIA,H,PHI,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,4
7,MIA-2018-07-23,2018-07-23,MIA,H,ATL,15,3.0,4,6,3,0,0,1,0,1,1,0,1,6,6,4,0,7
8,MIA-2018-07-26,2018-07-26,MIA,H,WSN,9,1.0,4,4,2,1,0,2,1,0,1,0,0,3,3,2,0,2
9,MIA-2018-09-02,2018-09-02,MIA,H,TOR,4,1.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,37
10,MIA-2018-09-04,2018-09-04,MIA,H,PHI,7,1.0,1,0,0,0,0,3,0,0,1,0,0,0,3,0,2,1
11,NYM-2018-09-12,2018-09-12,MIA,A,NYM,10,0.2,7,6,0,0,2,2,0,1,0,0,0,4,3,1,0,7
12,WSN-2018-09-25,2018-09-25,MIA,A,WSN,4,1.0,0,1,0,0,0,1,0,0,0,0,1,1,2,2,0,12
