,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf
0,PHI-2017-09-12,2017-09-12,PHI,H,MIA,3,3,0.2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,99,300,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PHI-2017-09-13,2017-09-13,PHI,H,MIA,4,3,1.0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,400,0.292,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.293,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2,PHI-2017-09-16,2017-09-16,PHI,H,OAK,6,6,2.0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,1,2,600,0.224,8,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,87.5,0.224,8,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,87.5
3,PHI-2017-09-18,2017-09-18,PHI,H,LAD,3,2,0.2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,300,0.121,14,0.071,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.286,0.0,92.857,0.121,14,0.071,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.286,0.0,92.857
4,PHI-2017-09-20,2017-09-20,PHI,H,LAD,1,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,100,0.141,17,0.059,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.235,0.0,94.118,0.141,17,0.059,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.235,0.0,94.118
5,PHI-2017-09-21,2017-09-21,PHI,H,LAD,5,3,1.0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,500,0.224,18,0.056,0.0,0.056,0.0,0.111,0.0,0.0,0.0,0.222,0.0,94.444,0.225,18,0.056,0.0,0.056,0.0,0.111,0.0,0.0,0.0,0.222,0.0,94.444
6,PHI-2017-09-25,2017-09-25,PHI,H,WSN,9,9,2.0,1,3,1,0,0,0,0,2,0,0,0,2,5,3,0,3,900,0.236,23,0.043,0.0,0.043,0.0,0.174,0.0,0.0,0.0,0.261,0.0,95.652,0.237,23,0.043,0.0,0.043,0.0,0.174,0.0,0.0,0.0,0.261,0.0,95.652
7,PHI-2017-09-27,2017-09-27,PHI,H,WSN,5,5,1.1,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,1,500,0.264,32,0.094,0.031,0.031,0.0,0.125,0.0,0.0,0.0,0.25,0.0,96.875,0.265,32,0.094,0.031,0.031,0.0,0.125,0.0,0.0,0.0,0.25,0.0,96.875
8,PHI-2017-09-30,2017-09-30,PHI,H,NYM,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,300,0.252,37,0.108,0.027,0.027,0.0,0.108,0.0,0.0,0.0,0.243,0.0,97.297,0.252,37,0.108,0.027,0.027,0.0,0.108,0.0,0.0,0.0,0.243,0.0,97.297
9,PHI-2017-10-01,2017-10-01,PHI,H,NYM,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,300,0.232,40,0.1,0.025,0.025,0.0,0.1,0.0,0.0,0.0,0.275,0.0,97.5,0.233,40,0.1,0.025,0.025,0.0,0.1,0.0,0.0,0.0,0.275,0.0,97.5
10,ATL-2018-03-30,2018-03-30,PHI,A,ATL,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,99,204,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,43,0.093,0.023,0.023,0.0,0.093,0.0,0.0,0.0,0.302,0.0,97.674
11,ATL-2018-03-31,2018-03-31,PHI,A,ATL,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,306,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.206,45,0.089,0.022,0.022,0.0,0.089,0.0,0.0,0.0,0.289,0.0,97.867
