,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,485567,5,4,1,1,0,0,0,0,0,1,1
1,430832,5,5,1,1,0,0,0,0,0,0,1
2,518626,5,4,2,1,0,0,1,1,2,1,0
3,429665,5,3,1,0,0,0,1,1,3,2,1
4,519322,0,0,0,0,0,0,0,0,0,0,0
5,431145,1,1,0,0,0,0,0,1,1,0,0
6,607680,4,4,0,0,0,0,0,0,0,0,1
7,572365,4,4,2,1,0,1,0,2,1,0,0
8,581527,4,4,2,1,1,0,0,2,0,0,1
9,462136,3,3,0,0,0,0,0,0,0,0,1
10,445926,0,0,0,0,0,0,0,0,0,0,0
11,459431,0,0,0,0,0,0,0,0,0,0,0
12,542992,1,1,0,0,0,0,0,0,0,0,0
13,643325,0,0,0,0,0,0,0,0,0,0,0
14,475253,0,0,0,0,0,0,0,0,0,0,0
