,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,518618,4,2,1,1,0,0,0,1,2,2,0
1,605119,6,6,1,1,0,0,0,0,0,0,0
2,592663,6,6,5,5,0,0,0,3,2,0,0
3,571506,6,5,2,1,1,0,0,2,1,1,2
4,607457,0,0,0,0,0,0,0,0,0,0,0
5,516770,6,6,2,2,0,0,0,0,0,0,3
6,445988,6,6,4,3,1,0,0,1,2,0,1
7,595375,6,6,3,3,0,0,0,2,1,0,1
8,457727,6,4,2,2,0,0,0,1,1,2,2
9,670950,0,0,0,0,0,0,0,0,0,0,0
10,607968,0,0,0,0,0,0,0,0,0,0,0
11,500743,1,1,1,1,0,0,0,0,0,0,0
12,543045,0,0,0,0,0,0,0,0,0,0,0
13,592680,1,1,1,1,0,0,0,0,1,0,0
14,608716,0,0,0,0,0,0,0,0,0,0,0
15,643265,1,1,0,0,0,0,0,0,0,0,0
16,446899,0,0,0,0,0,0,0,0,0,0,0
17,592407,1,1,0,0,0,0,0,0,0,0,0
