,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,642165,3,3,1,0,0,0,1,1,1,0,0
1,640447,1,1,0,0,0,0,0,0,0,0,0
2,458015,4,4,2,1,0,0,1,1,1,0,0
3,553993,4,4,0,0,0,0,0,0,0,0,3
4,606157,4,2,0,0,0,0,0,0,0,2,0
5,669222,4,3,0,0,0,0,0,0,0,1,2
6,578428,4,4,0,0,0,0,0,0,0,0,1
7,571657,3,2,0,0,0,0,0,0,0,1,1
8,547179,0,0,0,0,0,0,0,0,0,0,0
9,628452,0,0,0,0,0,0,0,0,0,0,0
10,592332,0,0,0,0,0,0,0,0,0,0,0
11,543243,2,2,0,0,0,0,0,0,0,0,0
12,607237,0,0,0,0,0,0,0,0,0,0,0
13,520471,1,1,0,0,0,0,0,0,0,0,0
14,592200,3,3,0,0,0,0,0,0,0,0,1
