,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,544725,4,4,2,1,1,0,0,0,1,0,0
1,641313,4,4,1,1,0,0,0,0,0,0,1
2,547989,4,4,1,1,0,0,0,0,0,0,1
3,543510,4,3,2,2,0,0,0,0,1,1,1
4,650391,4,3,2,1,0,0,1,2,1,1,0
5,605508,0,0,0,0,0,0,0,0,0,0,0
6,602922,3,3,0,0,0,0,0,0,0,0,1
7,607481,0,0,0,0,0,0,0,0,0,0,0
8,605240,0,0,0,0,0,0,0,0,0,0,0
9,605359,0,0,0,0,0,0,0,0,0,0,0
10,475174,1,1,0,0,0,0,0,0,0,0,0
11,517008,0,0,0,0,0,0,0,0,0,0,0
12,641477,4,4,0,0,0,0,0,0,0,0,0
13,570560,4,4,0,0,0,0,0,0,0,0,1
14,467100,2,2,0,0,0,0,0,0,0,0,2
15,660162,1,1,0,0,0,0,0,0,0,0,1
