,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,606466,5,4,2,0,0,0,2,2,3,1,0
1,545121,5,5,2,1,1,0,0,0,0,0,1
2,444482,5,5,1,0,1,0,0,1,0,0,0
3,430945,5,5,1,0,0,0,1,1,1,0,1
4,500871,5,4,1,1,0,0,0,0,2,1,2
5,572233,4,4,2,1,0,0,1,1,1,0,0
6,661255,0,0,0,0,0,0,0,0,0,0,0
7,502481,1,0,0,0,0,0,0,0,0,1,0
8,519008,0,0,0,0,0,0,0,0,0,0,0
9,605113,5,5,4,2,1,1,0,1,2,0,1
10,608348,4,3,1,1,0,0,0,2,0,1,1
11,664199,2,2,0,0,0,0,0,0,0,0,1
12,605177,0,0,0,0,0,0,0,0,0,0,0
13,641796,1,1,0,0,0,0,0,0,0,0,0
14,673633,0,0,0,0,0,0,0,0,0,0,0
15,605196,2,2,1,0,0,0,1,2,1,0,0
