,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,408314,5,5,2,2,0,0,0,0,1,0,0
1,608061,5,5,2,1,0,1,0,1,1,0,0
2,592665,0,0,0,0,0,0,0,0,0,0,0
3,624424,5,4,3,0,1,1,1,3,4,1,0
4,435522,5,5,3,1,2,0,0,3,1,0,0
5,446263,5,5,1,1,0,0,0,0,0,0,0
6,434158,4,3,0,0,0,0,0,0,0,1,1
7,477569,0,0,0,0,0,0,0,0,0,0,0
8,572831,0,0,0,0,0,0,0,0,0,0,0
9,608703,1,1,0,0,0,0,0,0,0,0,1
10,425784,4,4,1,1,0,0,0,2,0,0,0
11,501571,4,4,1,1,0,0,0,0,1,0,0
12,594798,3,3,2,1,1,0,0,0,1,0,0
13,460283,0,0,0,0,0,0,0,0,0,0,0
14,527038,1,1,0,0,0,0,0,0,0,0,0
