,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,662139,5,4,1,1,0,0,0,0,1,1,0
1,606466,5,5,2,2,0,0,0,0,0,0,0
2,656976,4,4,0,0,0,0,0,1,0,0,1
3,444482,4,3,0,0,0,0,0,0,0,1,0
4,642165,4,3,2,2,0,0,0,0,0,1,0
5,608348,3,3,0,0,0,0,0,0,0,0,2
6,594777,1,0,0,0,0,0,0,0,0,1,0
7,664983,4,4,0,0,0,0,0,0,0,0,2
8,545121,4,4,2,1,1,0,0,0,0,0,0
9,596133,1,1,0,0,0,0,0,0,0,0,1
10,573009,0,0,0,0,0,0,0,0,0,0,0
11,572233,0,0,0,0,0,0,0,0,0,0,0
12,598287,0,0,0,0,0,0,0,0,0,0,0
13,605525,0,0,0,0,0,0,0,0,0,0,0
14,592656,1,1,0,0,0,0,0,0,0,0,0
