,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,668942,4,3,0,0,0,0,0,0,0,1,2
1,606466,1,1,1,0,1,0,0,0,0,0,0
2,502210,3,2,0,0,0,0,0,0,0,1,0
3,642165,4,4,0,0,0,0,0,0,0,0,2
4,444482,4,2,0,0,0,0,0,0,0,2,1
5,656976,4,4,1,1,0,0,0,0,0,0,0
6,572233,4,4,0,0,0,0,0,0,0,0,1
7,662139,4,3,0,0,0,0,0,0,0,1,2
8,605113,3,3,0,0,0,0,0,0,0,0,2
9,668678,1,1,0,0,0,0,0,0,0,0,1
10,500871,1,1,0,0,0,0,0,0,0,0,1
11,573009,0,0,0,0,0,0,0,0,0,0,0
12,592233,0,0,0,0,0,0,0,0,0,0,0
13,488748,0,0,0,0,0,0,0,0,0,0,0
14,642092,0,0,0,0,0,0,0,0,0,0,0
15,452678,1,1,0,0,0,0,0,0,0,0,0
16,607188,0,0,0,0,0,0,0,0,0,0,0
