,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,606299,5,5,1,1,0,0,0,0,1,0,0
1,594988,5,5,2,1,1,0,0,0,2,0,0
2,458015,4,3,0,0,0,0,0,0,1,1,1
3,553993,4,4,3,2,1,0,0,4,2,0,0
4,571697,4,4,1,0,0,0,1,2,1,0,0
5,607468,0,0,0,0,0,0,0,0,0,0,0
6,594807,4,2,1,1,0,0,0,0,0,2,0
7,571466,4,4,3,2,0,1,0,1,0,0,0
8,622491,2,2,0,0,0,0,0,0,0,0,0
9,607237,0,0,0,0,0,0,0,0,0,0,0
10,594011,1,1,0,0,0,0,0,0,0,0,1
11,456696,0,0,0,0,0,0,0,0,0,0,0
12,593974,0,0,0,0,0,0,0,0,0,0,0
13,592169,0,0,0,0,0,0,0,0,0,0,0
14,571740,4,4,1,1,0,0,0,0,0,0,1
