,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,542364,5,5,0,0,0,0,0,0,0,0,1
1,643524,4,4,1,0,0,0,1,1,1,0,2
2,664023,4,4,0,0,0,0,0,0,0,0,2
3,622110,4,4,2,2,0,0,0,0,0,0,2
4,623520,3,3,0,0,0,0,0,0,0,0,0
5,605388,0,0,0,0,0,0,0,0,0,0,0
6,656730,0,0,0,0,0,0,0,0,0,0,0
7,657228,0,0,0,0,0,0,0,0,0,0,0
8,642727,1,1,0,0,0,0,0,0,0,0,0
9,664682,0,0,0,0,0,0,0,0,0,0,0
10,518792,4,4,1,1,0,0,0,0,0,0,0
11,455139,3,2,2,1,1,0,0,0,0,1,0
12,461865,4,3,0,0,0,0,0,0,0,1,2
13,621219,1,1,0,0,0,0,0,0,0,0,1
14,621550,2,2,1,1,0,0,0,0,0,0,1
