,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,645302,4,3,1,1,0,0,0,1,1,1,0
1,607208,5,5,1,0,1,0,0,1,0,0,2
2,547180,5,4,0,0,0,0,0,0,0,1,2
3,543685,5,4,0,0,0,0,0,0,0,1,1
4,665742,5,5,1,1,0,0,0,0,0,0,1
5,475582,5,4,0,0,0,0,0,0,0,1,1
6,506703,2,2,1,1,0,0,0,0,1,0,0
7,594694,2,2,1,1,0,0,0,0,0,0,0
8,571851,2,2,1,0,0,0,1,1,1,0,0
9,594809,1,1,0,0,0,0,0,0,0,0,0
10,594840,0,0,0,0,0,0,0,0,0,0,0
11,518813,0,0,0,0,0,0,0,0,0,0,0
12,448602,1,1,0,0,0,0,0,0,0,0,1
13,448281,0,0,0,0,0,0,0,0,0,0,0
14,606983,0,0,0,0,0,0,0,0,0,0,0
15,605452,1,1,0,0,0,0,0,0,0,0,0
16,664057,1,1,1,1,0,0,0,0,0,0,0
17,525768,0,0,0,0,0,0,0,0,0,0,0
18,622772,0,0,0,0,0,0,0,0,0,0,0
19,446308,2,2,0,0,0,0,0,0,0,0,0
