,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,594809,5,4,2,2,0,0,0,0,0,1,2
1,572821,3,3,0,0,0,0,0,0,0,0,1
2,571431,1,1,0,0,0,0,0,0,0,0,1
3,607457,0,0,0,0,0,0,0,0,0,0,0
4,502522,0,0,0,0,0,0,0,0,0,0,0
5,448609,0,0,0,0,0,0,0,0,0,0,0
6,593833,0,0,0,0,0,0,0,0,0,0,0
7,664057,1,1,0,0,0,0,0,0,0,0,0
8,543685,5,4,2,0,1,0,1,1,2,1,1
9,665742,4,4,1,1,0,0,0,0,1,0,2
10,475582,4,3,1,1,0,0,0,1,0,1,0
11,543228,4,3,0,0,0,0,0,0,0,1,1
12,594694,4,4,1,0,0,0,1,2,1,0,1
13,571578,1,1,0,0,0,0,0,0,0,0,0
14,435062,2,1,0,0,0,0,0,0,0,1,0
15,645302,4,3,0,0,0,0,0,0,1,1,2
