,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,543305,4,4,0,0,0,0,0,0,0,0,1
1,592450,5,3,0,0,0,0,0,0,0,2,3
2,519317,5,4,1,1,0,0,0,0,1,1,2
3,596142,5,4,2,0,2,0,0,0,0,1,0
4,544369,4,4,0,0,0,0,0,0,1,0,0
5,592122,2,2,2,1,0,0,1,3,1,0,0
6,435522,1,1,0,0,0,0,0,0,0,0,0
7,609280,4,4,1,0,1,0,0,0,0,0,1
8,547888,2,2,0,0,0,0,0,0,0,0,1
9,458731,1,1,0,0,0,0,0,0,0,0,0
10,643338,0,0,0,0,0,0,0,0,0,0,0
11,592741,0,0,0,0,0,0,0,0,0,0,0
12,595885,1,1,1,0,1,0,0,0,0,0,0
13,476589,0,0,0,0,0,0,0,0,0,0,0
14,650402,3,3,2,2,0,0,0,0,0,0,1
