,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,572008,4,3,1,0,1,0,0,0,1,1,0
1,641658,4,3,1,0,1,0,0,2,0,1,1
2,571710,0,0,0,0,0,0,0,0,0,0,0
3,596115,4,4,0,0,0,0,0,0,0,0,1
4,453568,4,4,0,0,0,0,0,0,0,0,0
5,543068,4,4,0,0,0,0,0,0,0,0,3
6,553869,4,4,0,0,0,0,0,0,0,0,1
7,641857,3,3,1,1,0,0,0,0,1,0,1
8,602074,3,3,0,0,0,0,0,0,0,0,2
9,596295,1,1,1,1,0,0,0,0,0,0,0
10,592346,0,0,0,0,0,0,0,0,0,0,0
11,656541,1,1,0,0,0,0,0,0,0,0,0
12,608032,0,0,0,0,0,0,0,0,0,0,0
13,596112,0,0,0,0,0,0,0,0,0,0,0
14,606132,1,1,0,0,0,0,0,0,0,0,1
